"","year","sex","age_group","cod","race_eth","deaths"
"1",1999,"female","0-4","all_cause","black",245
"2",1999,"female","0-4","all_cause","hispanic",703
"3",1999,"female","0-4","all_cause","white",446
"4",1999,"male","0-4","all_cause","black",266
"5",1999,"male","0-4","all_cause","hispanic",878
"6",1999,"male","0-4","all_cause","white",569
"7",1999,"female","10-14","all_cause","black",27
"8",1999,"female","10-14","all_cause","hispanic",63
"9",1999,"female","10-14","all_cause","white",60
"10",1999,"male","10-14","all_cause","black",31
"11",1999,"male","10-14","all_cause","hispanic",104
"12",1999,"male","10-14","all_cause","white",113
"13",1999,"female","15-19","all_cause","black",37
"14",1999,"female","15-19","all_cause","hispanic",128
"15",1999,"female","15-19","all_cause","white",156
"16",1999,"male","15-19","all_cause","black",121
"17",1999,"male","15-19","all_cause","hispanic",422
"18",1999,"male","15-19","all_cause","white",321
"19",1999,"female","20-24","all_cause","black",50
"20",1999,"female","20-24","all_cause","hispanic",137
"21",1999,"female","20-24","all_cause","white",179
"22",1999,"male","20-24","all_cause","black",191
"23",1999,"male","20-24","all_cause","hispanic",613
"24",1999,"male","20-24","all_cause","white",476
"25",1999,"female","25-29","all_cause","black",65
"26",1999,"female","25-29","all_cause","hispanic",167
"27",1999,"female","25-29","all_cause","white",230
"28",1999,"male","25-29","all_cause","black",180
"29",1999,"male","25-29","all_cause","hispanic",574
"30",1999,"male","25-29","all_cause","white",504
"31",1999,"female","30-34","all_cause","black",102
"32",1999,"female","30-34","all_cause","hispanic",202
"33",1999,"female","30-34","all_cause","white",371
"34",1999,"male","30-34","all_cause","black",202
"35",1999,"male","30-34","all_cause","hispanic",610
"36",1999,"male","30-34","all_cause","white",802
"37",1999,"female","35-39","all_cause","black",213
"38",1999,"female","35-39","all_cause","hispanic",262
"39",1999,"female","35-39","all_cause","white",685
"40",1999,"male","35-39","all_cause","black",305
"41",1999,"male","35-39","all_cause","hispanic",706
"42",1999,"male","35-39","all_cause","white",1334
"43",1999,"female","40-44","all_cause","black",305
"44",1999,"female","40-44","all_cause","hispanic",368
"45",1999,"female","40-44","all_cause","white",1081
"46",1999,"male","40-44","all_cause","black",467
"47",1999,"male","40-44","all_cause","hispanic",795
"48",1999,"male","40-44","all_cause","white",1991
"49",1999,"female","45-49","all_cause","black",398
"50",1999,"female","45-49","all_cause","hispanic",436
"51",1999,"female","45-49","all_cause","white",1644
"52",1999,"male","45-49","all_cause","black",596
"53",1999,"male","45-49","all_cause","hispanic",918
"54",1999,"male","45-49","all_cause","white",2831
"55",1999,"female","5-9","all_cause","black",25
"56",1999,"female","5-9","all_cause","hispanic",70
"57",1999,"female","5-9","all_cause","white",58
"58",1999,"male","5-9","all_cause","black",26
"59",1999,"male","5-9","all_cause","hispanic",76
"60",1999,"male","5-9","all_cause","white",70
"61",1999,"female","50-54","all_cause","black",420
"62",1999,"female","50-54","all_cause","hispanic",504
"63",1999,"female","50-54","all_cause","white",2084
"64",1999,"male","50-54","all_cause","black",657
"65",1999,"male","50-54","all_cause","hispanic",865
"66",1999,"male","50-54","all_cause","white",3436
"67",1999,"female","55-59","all_cause","black",506
"68",1999,"female","55-59","all_cause","hispanic",595
"69",1999,"female","55-59","all_cause","white",2648
"70",1999,"male","55-59","all_cause","black",677
"71",1999,"male","55-59","all_cause","hispanic",847
"72",1999,"male","55-59","all_cause","white",3974
"73",1999,"female","60-64","all_cause","black",599
"74",1999,"female","60-64","all_cause","hispanic",743
"75",1999,"female","60-64","all_cause","white",3533
"76",1999,"male","60-64","all_cause","black",850
"77",1999,"male","60-64","all_cause","hispanic",1051
"78",1999,"male","60-64","all_cause","white",4801
"79",1999,"female","65-69","all_cause","black",764
"80",1999,"female","65-69","all_cause","hispanic",1122
"81",1999,"female","65-69","all_cause","white",5083
"82",1999,"male","65-69","all_cause","black",814
"83",1999,"male","65-69","all_cause","hispanic",1354
"84",1999,"male","65-69","all_cause","white",6721
"85",1999,"female","70-74","all_cause","black",928
"86",1999,"female","70-74","all_cause","hispanic",1330
"87",1999,"female","70-74","all_cause","white",8092
"88",1999,"male","70-74","all_cause","black",980
"89",1999,"male","70-74","all_cause","hispanic",1545
"90",1999,"male","70-74","all_cause","white",9959
"91",1999,"female","75-79","all_cause","black",1110
"92",1999,"female","75-79","all_cause","hispanic",1375
"93",1999,"female","75-79","all_cause","white",12207
"94",1999,"male","75-79","all_cause","black",1057
"95",1999,"male","75-79","all_cause","hispanic",1640
"96",1999,"male","75-79","all_cause","white",12900
"97",1999,"female","80-84","all_cause","black",1056
"98",1999,"female","80-84","all_cause","hispanic",1402
"99",1999,"female","80-84","all_cause","white",14547
"100",1999,"male","80-84","all_cause","black",814
"101",1999,"male","80-84","all_cause","hispanic",1130
"102",1999,"male","80-84","all_cause","white",13255
"103",1999,"female","85-89","all_cause","black",931
"104",1999,"female","85-89","all_cause","hispanic",1300
"105",1999,"female","85-89","all_cause","white",15547
"106",1999,"male","85-89","all_cause","black",552
"107",1999,"male","85-89","all_cause","hispanic",826
"108",1999,"male","85-89","all_cause","white",10166
"109",1999,"female","90+","all_cause","black",956
"110",1999,"female","90+","all_cause","hispanic",1390
"111",1999,"female","90+","all_cause","white",18243
"112",1999,"male","90+","all_cause","black",349
"113",1999,"male","90+","all_cause","hispanic",693
"114",1999,"male","90+","all_cause","white",6971
"115",2000,"female","0-4","all_cause","black",225
"116",2000,"female","0-4","all_cause","hispanic",743
"117",2000,"female","0-4","all_cause","white",456
"118",2000,"male","0-4","all_cause","black",274
"119",2000,"male","0-4","all_cause","hispanic",898
"120",2000,"male","0-4","all_cause","white",555
"121",2000,"female","10-14","all_cause","black",20
"122",2000,"female","10-14","all_cause","hispanic",69
"123",2000,"female","10-14","all_cause","white",69
"124",2000,"male","10-14","all_cause","black",34
"125",2000,"male","10-14","all_cause","hispanic",113
"126",2000,"male","10-14","all_cause","white",123
"127",2000,"female","15-19","all_cause","black",34
"128",2000,"female","15-19","all_cause","hispanic",115
"129",2000,"female","15-19","all_cause","white",137
"130",2000,"male","15-19","all_cause","black",150
"131",2000,"male","15-19","all_cause","hispanic",443
"132",2000,"male","15-19","all_cause","white",304
"133",2000,"female","20-24","all_cause","black",49
"134",2000,"female","20-24","all_cause","hispanic",152
"135",2000,"female","20-24","all_cause","white",162
"136",2000,"male","20-24","all_cause","black",222
"137",2000,"male","20-24","all_cause","hispanic",582
"138",2000,"male","20-24","all_cause","white",482
"139",2000,"female","25-29","all_cause","black",75
"140",2000,"female","25-29","all_cause","hispanic",161
"141",2000,"female","25-29","all_cause","white",193
"142",2000,"male","25-29","all_cause","black",206
"143",2000,"male","25-29","all_cause","hispanic",518
"144",2000,"male","25-29","all_cause","white",512
"145",2000,"female","30-34","all_cause","black",89
"146",2000,"female","30-34","all_cause","hispanic",187
"147",2000,"female","30-34","all_cause","white",334
"148",2000,"male","30-34","all_cause","black",231
"149",2000,"male","30-34","all_cause","hispanic",617
"150",2000,"male","30-34","all_cause","white",773
"151",2000,"female","35-39","all_cause","black",186
"152",2000,"female","35-39","all_cause","hispanic",311
"153",2000,"female","35-39","all_cause","white",655
"154",2000,"male","35-39","all_cause","black",307
