age_group,year,sex,race_eth,deaths,crude.rate,cod
< 1 year,1999,Female,Black or African American,210,1256.3,all_cause
< 1 year,1999,Female,White,370,454.2,all_cause
< 1 year,1999,Male,Black or African American,226,1306.7,all_cause
< 1 year,1999,Male,White,461,536.9,all_cause
< 1 year,2000,Female,Black or African American,200,1183.9,all_cause
< 1 year,2000,Female,White,383,481.2,all_cause
< 1 year,2000,Male,Black or African American,238,1357.0,all_cause
< 1 year,2000,Male,White,454,539.6,all_cause
< 1 year,2001,Female,Black or African American,203,1185.3,all_cause
< 1 year,2001,Female,White,372,452.4,all_cause
< 1 year,2001,Male,Black or African American,212,1225.2,all_cause
< 1 year,2001,Male,White,464,534.5,all_cause
< 1 year,2002,Female,Black or African American,178,1083.8,all_cause
< 1 year,2002,Female,White,359,450.4,all_cause
< 1 year,2002,Male,Black or African American,220,1306.6,all_cause
< 1 year,2002,Male,White,506,600.8,all_cause
< 1 year,2003,Female,Black or African American,162,1026.3,all_cause
< 1 year,2003,Female,White,318,391.1,all_cause
< 1 year,2003,Male,Black or African American,222,1314.9,all_cause
< 1 year,2003,Male,White,436,513.6,all_cause
< 1 year,2004,Female,Black or African American,163,1047.6,all_cause
< 1 year,2004,Female,White,342,425.2,all_cause
< 1 year,2004,Male,Black or African American,213,1303.2,all_cause
< 1 year,2004,Male,White,421,497.8,all_cause
< 1 year,2005,Female,Black or African American,180,1145.4,all_cause
< 1 year,2005,Female,White,372,475.7,all_cause
< 1 year,2005,Male,Black or African American,224,1363.9,all_cause
< 1 year,2005,Male,White,413,500.6,all_cause
< 1 year,2006,Female,Black or African American,169,1088.6,all_cause
< 1 year,2006,Female,White,286,375.4,all_cause
< 1 year,2006,Male,Black or African American,209,1278.8,all_cause
< 1 year,2006,Male,White,437,546.0,all_cause
< 1 year,2007,Female,Black or African American,169,1044.4,all_cause
< 1 year,2007,Female,White,338,451.7,all_cause
< 1 year,2007,Male,Black or African American,207,1231.9,all_cause
< 1 year,2007,Male,White,422,533.8,all_cause
< 1 year,2008,Female,Black or African American,168,1031.6,all_cause
< 1 year,2008,Female,White,284,380.5,all_cause
< 1 year,2008,Male,Black or African American,221,1319.2,all_cause
< 1 year,2008,Male,White,364,464.7,all_cause
< 1 year,2009,Female,Black or African American,134,865.6,all_cause
< 1 year,2009,Female,White,251,365.7,all_cause
< 1 year,2009,Male,Black or African American,202,1274.9,all_cause
< 1 year,2009,Male,White,395,545.3,all_cause
< 1 year,2010,Female,Black or African American,125,826.4,all_cause
< 1 year,2010,Female,White,278,407.8,all_cause
< 1 year,2010,Male,Black or African American,170,1087.8,all_cause
< 1 year,2010,Male,White,357,499.2,all_cause
< 1 year,2011,Female,Black or African American,133,851.7,all_cause
< 1 year,2011,Female,White,279,402.9,all_cause
< 1 year,2011,Male,Black or African American,181,1095.2,all_cause
< 1 year,2011,Male,White,337,466.8,all_cause
< 1 year,2012,Female,Black or African American,119,765.1,all_cause
< 1 year,2012,Female,White,242,346.2,all_cause
< 1 year,2012,Male,Black or African American,171,1048.6,all_cause
< 1 year,2012,Male,White,320,437.3,all_cause
< 1 year,2013,Female,Black or African American,131,863.8,all_cause
< 1 year,2013,Female,White,271,394.1,all_cause
< 1 year,2013,Male,Black or African American,182,1143.4,all_cause
< 1 year,2013,Male,White,336,466.4,all_cause
< 1 year,2014,Female,Black or African American,140,910.8,all_cause
< 1 year,2014,Female,White,235,337.0,all_cause
< 1 year,2014,Male,Black or African American,165,1023.1,all_cause
< 1 year,2014,Male,White,301,412.4,all_cause
< 1 year,2015,Female,Black or African American,90,575.1,all_cause
< 1 year,2015,Female,White,241,342.4,all_cause
< 1 year,2015,Male,Black or African American,169,1029.0,all_cause
< 1 year,2015,Male,White,306,414.5,all_cause
< 1 year,2016,Female,Black or African American,122,778.7,all_cause
< 1 year,2016,Female,White,214,302.8,all_cause
< 1 year,2016,Male,Black or African American,133,806.5,all_cause
< 1 year,2016,Male,White,315,425.3,all_cause
< 1 year,2017,Female,Black or African American,103,678.0,all_cause
< 1 year,2017,Female,White,181,262.3,all_cause
< 1 year,2017,Male,Black or African American,119,749.9,all_cause
