sex,race_eth,age_group,year,population
female,black,0-4,2000,393576.1714469859
female,black,0-4,2001,189369.57042631705
female,black,0-4,2002,182291.10877619602
female,black,0-4,2003,176310.49595896498
female,black,0-4,2004,170939.98750771704
female,black,0-4,2005,165856.811065021
female,black,0-4,2006,162223.328569883
female,black,0-4,2007,160077.61182163097
female,black,0-4,2008,159151.61517169702
female,black,0-4,2009,157103.13513575902
female,black,0-4,2010,233684.14191302803
female,black,0-4,2011,78857
female,black,0-4,2012,79389
female,black,0-4,2013,79477
female,black,0-4,2014,79313
female,black,0-4,2015,78667
female,black,0-4,2016,77579
female,black,0-4,2017,75847
female,black,0-4,2018,73444
female,black,0-4,2019,70134
female,black,0-4,2020,65579
female,black,5-9,2000,399839.984562059
female,black,5-9,2001,194083.86521642498
female,black,5-9,2002,187938.68945408802
female,black,5-9,2003,181392.23441665902
female,black,5-9,2004,174382.65159610502
female,black,5-9,2005,166732.59109665602
female,black,5-9,2006,159466.536303068
female,black,5-9,2007,153740.607665045
female,black,5-9,2008,149546.041378836
female,black,5-9,2009,140835.48377963202
female,black,5-9,2010,204733.218589779
female,black,5-9,2011,66084
female,black,5-9,2012,64771
female,black,5-9,2013,63495
female,black,5-9,2014,62723
female,black,5-9,2015,62271
female,black,5-9,2016,62082
female,black,5-9,2017,62235
female,black,5-9,2018,62384
female,black,5-9,2019,61569
female,black,5-9,2020,59680
female,black,10-14,2000,374444.611421422
female,black,10-14,2001,191710.88914479502
female,black,10-14,2002,194164.443231765
female,black,10-14,2003,195343.46102067496
female,black,10-14,2004,194560.686278803
female,black,10-14,2005,191905.99230090197
female,black,10-14,2006,188301.41150527503
female,black,10-14,2007,183628.237311486
female,black,10-14,2008,178204.63391252302
female,black,10-14,2009,164613.231745605
female,black,10-14,2010,234472.059854306
female,black,10-14,2011,75088
female,black,10-14,2012,72758
female,black,10-14,2013,70271
female,black,10-14,2014,67848
female,black,10-14,2015,65449
female,black,10-14,2016,63313
female,black,10-14,2017,61861
female,black,10-14,2018,61399
female,black,10-14,2019,62168
female,black,10-14,2020,62945
female,black,15-19,2000,321497.289355489
female,black,15-19,2001,162958.47240748597
female,black,15-19,2002,167086.37064386898
female,black,15-19,2003,170643.86944952898
female,black,15-19,2004,173552.72435282898
female,black,15-19,2005,176156.53443313
female,black,15-19,2006,179037.655812246
female,black,15-19,2007,181090.758323883
female,black,15-19,2008,182714.730278878
female,black,15-19,2009,184473.394816807
female,black,15-19,2010,272940.283105291
female,black,15-19,2011,88618
female,black,15-19,2012,86252
female,black,15-19,2013,83377
female,black,15-19,2014,80422
female,black,15-19,2015,77503
female,black,15-19,2016,74664
female,black,15-19,2017,72072
female,black,15-19,2018,69670
female,black,15-19,2019,67174
female,black,15-19,2020,63948
female,black,20-24,2000,292341.782780486
female,black,20-24,2001,146622.628007967
female,black,20-24,2002,149036.665528518
female,black,20-24,2003,151837.979624436
female,black,20-24,2004,154491.960268206
female,black,20-24,2005,155729.617781709
female,black,20-24,2006,156881.58886333
female,black,20-24,2007,158015.901204541
female,black,20-24,2008,159477.411023591
female,black,20-24,2009,162266.504229244
female,black,20-24,2010,244981.76262713398
female,black,20-24,2011,84433
female,black,20-24,2012,86205
female,black,20-24,2013,87265
female,black,20-24,2014,87659
female,black,20-24,2015,87215
