year,race_eth,sex,population
1999,black,female,1173834.297003213
1999,black,male,1128633.7029967878
1999,hispanic,female,5200785.084186557
1999,hispanic,male,5460147.8604388535
1999,white,female,8140117.7459911965
1999,white,male,7943206.254008801
2000,black,female,1126327
2000,black,male,1084519
2000,hispanic,female,5351407
2000,hispanic,male,5614903
2000,white,female,8124038
2000,white,male,7935522
2001,black,female,1124628.6702377493
2001,black,male,1085474.7775942322
2001,hispanic,female,5625788.685102861
2001,hispanic,male,5855695.32073459
2001,white,female,8019806.458371428
2001,white,male,7853374.727741167
2002,black,female,1128367.271721291
2002,black,male,1090175.3122395184
2002,hispanic,female,5783704.426888641
2002,hispanic,male,6003688.458944962
2002,white,female,8011083.794276964
2002,white,male,7855404.549016389
2003,black,female,1131191.3916346584
2003,black,male,1094774.920609974
2003,hispanic,female,5953229.661968882
2003,hispanic,male,6162786.906502055
2003,white,female,8000181.121256679
2003,white,male,7854251.083787598
2004,black,female,1131035.6413099675
2004,black,male,1096210.2403504406
2004,hispanic,female,6108054.003519398
2004,hispanic,male,6305903.499979987
2004,white,female,7975956.882103023
2004,white,male,7838255.444087174
2005,black,female,1126765.3835716255
2005,black,male,1093503.917641014
2005,hispanic,female,6240672.833586962
2005,hispanic,male,6427117.467063957
2005,white,female,7922497.523946109
2005,white,male,7793568.376533897
2006,black,female,1123992.0981314802
2006,black,male,1092698.4665921899
2006,hispanic,female,6373162.671881079
2006,hispanic,male,6550395.750741192
2006,white,female,7871437.187999507
2006,white,male,7753922.092125566
2007,black,female,1122942.2110242522
2007,black,male,1093239.1077135166
2007,hispanic,female,6507537.322604584
2007,hispanic,male,6678070.112339773
2007,white,female,7831269.042601958
2007,white,male,7725525.501860465
2008,black,female,1122919.924991032
2008,black,male,1094181.9036244766
2008,hispanic,female,6638475.039317112
2008,hispanic,male,6804681.00692337
2008,white,female,7791597.757582462
2008,white,male,7695792.017780632
2009,black,female,1116422.3445326306
2009,black,male,1089156.9144665243
2009,hispanic,female,6816206.639162858
2009,hispanic,male,6976343.450001658
2009,white,female,7666224.656192596
2009,white,male,7585223.3215161115
2010,black,female,1106399
2010,black,male,1080681
2010,hispanic,female,6933584
2010,hispanic,male,7080124
2010,white,female,7546255
2010,white,male,7482396
2011,black,female,1113182
2011,black,male,1086976
2011,hispanic,female,7085187
2011,hispanic,male,7181645
2011,white,female,7492441
2011,white,male,7441738
2012,black,female,1116707
2012,black,male,1089727
2012,hispanic,female,7205740
2012,hispanic,male,7251618
2012,white,female,7436237
2012,white,male,7396353
2013,black,female,1117207
2013,black,male,1089947
2013,hispanic,female,7311131
2013,hispanic,male,7293223
2013,white,female,7355131
2013,white,male,7326015
2014,black,female,1118083
2014,black,male,1090716
2014,hispanic,female,7418889
2014,hispanic,male,7333410
2014,white,female,7274503
2014,white,male,7256000
2015,black,female,1118007
2015,black,male,1090791
2015,hispanic,female,7519138
2015,hispanic,male,7372721
2015,white,female,7198160
2015,white,male,7188168
2016,black,female,1116629
2016,black,male,1089918
2016,hispanic,female,7606368
2016,hispanic,male,7409568
2016,white,female,7128259
2016,white,male,7123576
2017,black,female,1116155
2017,black,male,1089884
2017,hispanic,female,7690522
2017,hispanic,male,7461085
2017,white,female,7083077
2017,white,male,7080569
2018,black,female,1115113
2018,black,male,1089155
2018,hispanic,female,7761712
2018,hispanic,male,7518340
2018,white,female,7049831
2018,white,male,7049012
2019,black,female,1112313
2019,black,male,1086294
2019,hispanic,female,7816221
2019,hispanic,male,7563619
2019,white,female,7000649
2019,white,male,7000517
2020,black,female,1080723
2020,black,male,1060332
2020,hispanic,female,7907583
2020,hispanic,male,7671768
2020,white,female,6925268
2020,white,male,6932689
