"","race_eth","age_group","cod","deaths","population"
"1","black","0-4","homicide",91,1104549.95431163
"2","black","10-14","homicide",37,1031841.30174808
"3","black","15-19","homicide",867,1177784.1429217
"4","black","20-24","homicide",1405,1224919.0897819
"5","black","25-29","homicide",1134,1196637.58938025
"6","black","30-34","homicide",874,1105255.4373269
"7","black","35-39","homicide",652,1066788.17246732
"8","black","40-44","homicide",490,1082950.66578596
"9","black","45-49","homicide",400,1152596.69113487
"10","black","5-9","homicide",15,924653.777178287
"11","black","50-54","homicide",329,1129310.68153313
"12","black","55-59","homicide",230,980031.946229232
"13","black","60-64","homicide",117,727347.569397629
"14","black","65-69","homicide",63,504032.285363787
"15","black","70-74","homicide",31,346245.621463656
"16","black","75-79","homicide",11,231194.675301555
"17","black","80-84","homicide",0,137874.638405939
"18","black","85-89","homicide",0,67099.694545862
"19","black","90+","homicide",0,29884.991526835
"20","hispanic","0-4","homicide",203,11015790.4472454
"21","hispanic","10-14","homicide",119,9597514.76924226
"22","hispanic","15-19","homicide",1854,9457907.71028574
"23","hispanic","20-24","homicide",2505,9049171.57063799
"24","hispanic","25-29","homicide",1797,8530928.12159577
"25","hispanic","30-34","homicide",1311,7992602.03635069
"26","hispanic","35-39","homicide",1076,7546191.7685626
"27","hispanic","40-44","homicide",701,6896113.99156668
"28","hispanic","45-49","homicide",489,6034400.10081695
"29","hispanic","5-9","homicide",30,9610772.85960518
"30","hispanic","50-54","homicide",363,4922345.4561572
"31","hispanic","55-59","homicide",231,3747340.58831312
"32","hispanic","60-64","homicide",127,2644571.91581506
"33","hispanic","65-69","homicide",71,1758517.2498642
"34","hispanic","70-74","homicide",39,1156728.96015974
"35","hispanic","75-79","homicide",23,776207.225035491
"36","hispanic","80-84","homicide",17,497468.573338989
"37","hispanic","85-89","homicide",0,250590.700287186
"38","hispanic","90+","homicide",0,111051.524384592
"39","white","0-4","homicide",98,5713478.79636274
"40","white","10-14","homicide",22,4970711.3742568
"41","white","15-19","homicide",198,5688679.07023181
"42","white","20-24","homicide",378,6342899.04473206
"43","white","25-29","homicide",433,6804212.85917272
"44","white","30-34","homicide",416,6810894.34283718
"45","white","35-39","homicide",382,6764786.82800218
"46","white","40-44","homicide",387,7016318.73120169
"47","white","45-49","homicide",416,7871084.53638385
"48","white","5-9","homicide",15,4585216.27409887
"49","white","50-54","homicide",376,8375117.78770443
"50","white","55-59","homicide",323,8210643.86527355
"51","white","60-64","homicide",245,7110120.31698617
"52","white","65-69","homicide",173,5532633.66316583
"53","white","70-74","homicide",81,3988217.67788135
"54","white","75-79","homicide",51,2831158.83030079
"55","white","80-84","homicide",49,2002114.25795345
"56","white","85-89","homicide",24,1157921.18100994
"57","white","90+","homicide",12,507364.403601792
