"","race_eth","age_group","cod","deaths","population"
"1","black","0-4","mvc",34,1104549.95431163
"2","black","10-14","mvc",46,1031841.30174808
"3","black","15-19","mvc",197,1177784.1429217
"4","black","20-24","mvc",409,1224919.0897819
"5","black","25-29","mvc",417,1196637.58938025
"6","black","30-34","mvc",303,1105255.4373269
"7","black","35-39","mvc",278,1066788.17246732
"8","black","40-44","mvc",242,1082950.66578596
"9","black","45-49","mvc",269,1152596.69113487
"10","black","5-9","mvc",31,924653.777178287
"11","black","50-54","mvc",293,1129310.68153313
"12","black","55-59","mvc",276,980031.946229232
"13","black","60-64","mvc",212,727347.569397629
"14","black","65-69","mvc",157,504032.285363787
"15","black","70-74","mvc",82,346245.621463656
"16","black","75-79","mvc",56,231194.675301555
"17","black","80-84","mvc",32,137874.638405939
"18","black","85-89","mvc",31,67099.694545862
"19","black","90+","mvc",0,29884.991526835
"20","hispanic","0-4","mvc",242,11015790.4472454
"21","hispanic","10-14","mvc",254,9597514.76924226
"22","hispanic","15-19","mvc",1407,9457907.71028574
"23","hispanic","20-24","mvc",2774,9049171.57063799
"24","hispanic","25-29","mvc",2137,8530928.12159577
"25","hispanic","30-34","mvc",1570,7992602.03635069
"26","hispanic","35-39","mvc",1192,7546191.7685626
"27","hispanic","40-44","mvc",1088,6896113.99156668
"28","hispanic","45-49","mvc",1005,6034400.10081695
"29","hispanic","5-9","mvc",183,9610772.85960518
"30","hispanic","50-54","mvc",929,4922345.4561572
"31","hispanic","55-59","mvc",837,3747340.58831312
"32","hispanic","60-64","mvc",641,2644571.91581506
"33","hispanic","65-69","mvc",433,1758517.2498642
"34","hispanic","70-74","mvc",311,1156728.96015974
"35","hispanic","75-79","mvc",236,776207.225035491
"36","hispanic","80-84","mvc",173,497468.573338989
"37","hispanic","85-89","mvc",118,250590.700287186
"38","hispanic","90+","mvc",46,111051.524384592
"39","white","0-4","mvc",85,5713478.79636274
"40","white","10-14","mvc",128,4970711.3742568
"41","white","15-19","mvc",800,5688679.07023181
"42","white","20-24","mvc",1769,6342899.04473206
"43","white","25-29","mvc",1521,6804212.85917272
"44","white","30-34","mvc",1184,6810894.34283718
"45","white","35-39","mvc",1052,6764786.82800218
"46","white","40-44","mvc",1123,7016318.73120169
"47","white","45-49","mvc",1319,7871084.53638385
"48","white","5-9","mvc",65,4585216.27409887
"49","white","50-54","mvc",1598,8375117.78770443
"50","white","55-59","mvc",1640,8210643.86527355
"51","white","60-64","mvc",1389,7110120.31698617
"52","white","65-69","mvc",1070,5532633.66316583
"53","white","70-74","mvc",729,3988217.67788135
"54","white","75-79","mvc",627,2831158.83030079
"55","white","80-84","mvc",562,2002114.25795345
"56","white","85-89","mvc",430,1157921.18100994
"57","white","90+","mvc",234,507364.403601792
