age_group,race_eth,cod,deaths
15-19,black,all_cause,1584
15-19,hispanic,all_cause,5755
15-19,white,all_cause,3159
20-24,black,all_cause,2916
20-24,hispanic,all_cause,10210
20-24,white,all_cause,7133
15-19,black,homicide,867
20-24,black,homicide,1405
15-19,hispanic,homicide,1854
20-24,hispanic,homicide,2505
15-19,white,homicide,198
20-24,white,homicide,378
15-19,black,mvc,197
20-24,black,mvc,409
15-19,hispanic,mvc,1407
20-24,hispanic,mvc,2774
15-19,white,mvc,800
20-24,white,mvc,1769
15-19,hispanic,injury,536
20-24,hispanic,injury,1388
15-19,black,injury,120
15-19,white,injury,605
20-24,black,injury,233
20-24,white,injury,1958
15-19,hispanic,suicide,620
20-24,hispanic,suicide,1232
15-19,black,suicide,102
15-19,white,suicide,717
20-24,black,suicide,253
20-24,white,suicide,1398
15-19,hispanic,disease,1239
20-24,hispanic,disease,2087
15-19,black,disease,267
15-19,white,disease,760
20-24,black,disease,535
20-24,white,disease,1464
