"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"< 1 year","1","1999","1999","Female","F",577,114478,504.0
,"< 1 year","1","1999","1999","Male","M",719,120169,598.3
,"< 1 year","1","2000","2000","Female","F",633,114245,554.1
,"< 1 year","1","2000","2000","Male","M",729,120164,606.7
,"< 1 year","1","2001","2001","Female","F",591,127721,462.7
,"< 1 year","1","2001","2001","Male","M",728,133871,543.8
,"< 1 year","1","2002","2002","Female","F",629,128214,490.6
,"< 1 year","1","2002","2002","Male","M",746,132288,563.9
,"< 1 year","1","2003","2003","Female","F",626,129268,484.3
,"< 1 year","1","2003","2003","Male","M",785,134622,583.1
,"< 1 year","1","2004","2004","Female","F",616,130014,473.8
,"< 1 year","1","2004","2004","Male","M",810,134144,603.8
,"< 1 year","1","2005","2005","Female","F",660,132412,498.4
,"< 1 year","1","2005","2005","Male","M",840,137472,611.0
,"< 1 year","1","2006","2006","Female","F",669,134471,497.5
,"< 1 year","1","2006","2006","Male","M",823,138693,593.4
,"< 1 year","1","2007","2007","Female","F",691,137444,502.8
,"< 1 year","1","2007","2007","Male","M",836,142268,587.6
,"< 1 year","1","2008","2008","Female","F",687,137099,501.1
,"< 1 year","1","2008","2008","Male","M",821,142922,574.4
,"< 1 year","1","2009","2009","Female","F",611,131466,464.8
,"< 1 year","1","2009","2009","Male","M",746,136026,548.4
,"< 1 year","1","2010","2010","Female","F",572,129848,440.5
,"< 1 year","1","2010","2010","Male","M",692,134724,513.6
,"< 1 year","1","2011","2011","Female","F",565,133312,423.8
,"< 1 year","1","2011","2011","Male","M",663,139407,475.6
,"< 1 year","1","2012","2012","Female","F",548,134398,407.7
,"< 1 year","1","2012","2012","Male","M",609,139995,435.0
,"< 1 year","1","2013","2013","Female","F",542,131507,412.1
,"< 1 year","1","2013","2013","Male","M",668,137117,487.2
,"< 1 year","1","2014","2014","Female","F",505,129869,388.9
,"< 1 year","1","2014","2014","Male","M",577,134921,427.7
,"< 1 year","1","2015","2015","Female","F",519,128749,403.1
,"< 1 year","1","2015","2015","Male","M",596,134375,443.5
,"< 1 year","1","2016","2016","Female","F",454,126142,359.9
,"< 1 year","1","2016","2016","Male","M",585,131547,444.7
,"< 1 year","1","2017","2017","Female","F",487,124305,391.8
,"< 1 year","1","2017","2017","Male","M",602,129853,463.6
