"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"< 1 year","1","1999","1999","Female","F","Black or African American","2054-5",210,16716,1256.3
,"< 1 year","1","1999","1999","Female","F","White","2106-3",370,81456,454.2
,"< 1 year","1","1999","1999","Male","M","Black or African American","2054-5",226,17295,1306.7
,"< 1 year","1","1999","1999","Male","M","White","2106-3",461,85860,536.9
,"< 1 year","1","2000","2000","Female","F","Black or African American","2054-5",200,16893,1183.9
,"< 1 year","1","2000","2000","Female","F","White","2106-3",383,79598,481.2
,"< 1 year","1","2000","2000","Male","M","Black or African American","2054-5",238,17539,1357.0
,"< 1 year","1","2000","2000","Male","M","White","2106-3",454,84144,539.6
,"< 1 year","1","2001","2001","Female","F","Black or African American","2054-5",203,17126,1185.3
,"< 1 year","1","2001","2001","Female","F","White","2106-3",372,82224,452.4
,"< 1 year","1","2001","2001","Male","M","Black or African American","2054-5",212,17304,1225.2
,"< 1 year","1","2001","2001","Male","M","White","2106-3",464,86805,534.5
,"< 1 year","1","2002","2002","Female","F","Black or African American","2054-5",178,16424,1083.8
,"< 1 year","1","2002","2002","Female","F","White","2106-3",359,79715,450.4
,"< 1 year","1","2002","2002","Male","M","Black or African American","2054-5",220,16838,1306.6
,"< 1 year","1","2002","2002","Male","M","White","2106-3",506,84224,600.8
,"< 1 year","1","2003","2003","Female","F","Black or African American","2054-5",162,15785,1026.3
,"< 1 year","1","2003","2003","Female","F","White","2106-3",318,81311,391.1
,"< 1 year","1","2003","2003","Male","M","Black or African American","2054-5",222,16884,1314.9
,"< 1 year","1","2003","2003","Male","M","White","2106-3",436,84889,513.6
,"< 1 year","1","2004","2004","Female","F","Black or African American","2054-5",163,15559,1047.6
,"< 1 year","1","2004","2004","Female","F","White","2106-3",342,80440,425.2
,"< 1 year","1","2004","2004","Male","M","Black or African American","2054-5",213,16344,1303.2
