"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"< 1 year","1","1999","1999","Female","F",11,114478,Unreliable
,"< 1 year","1","1999","1999","Male","M",10,120169,Unreliable
,"< 1 year","1","2006","2006","Male","M",12,138693,Unreliable
,"< 1 year","1","2007","2007","Male","M",13,142268,Unreliable
,"< 1 year","1","2008","2008","Male","M",13,142922,Unreliable
,"< 1 year","1","2011","2011","Male","M",16,139407,Unreliable
,"1-4 years","1-4","2000","2000","Male","M",10,486419,Unreliable
,"1-4 years","1-4","2002","2002","Male","M",10,494262,Unreliable
,"1-4 years","1-4","2003","2003","Male","M",10,505900,Unreliable
,"1-4 years","1-4","2004","2004","Female","F",11,496803,Unreliable
,"1-4 years","1-4","2005","2005","Male","M",11,526588,Unreliable
,"1-4 years","1-4","2008","2008","Female","F",10,520277,Unreliable
,"1-4 years","1-4","2008","2008","Male","M",11,541486,Unreliable
,"1-4 years","1-4","2009","2009","Female","F",11,528943,Unreliable
,"1-4 years","1-4","2009","2009","Male","M",10,552420,Unreliable
,"1-4 years","1-4","2010","2010","Male","M",11,554338,Unreliable
,"1-4 years","1-4","2011","2011","Male","M",13,556361,Unreliable
,"1-4 years","1-4","2015","2015","Male","M",10,535602,Unreliable
,"1-4 years","1-4","2016","2016","Female","F",14,504430,Unreliable
,"10-14 years","10-14","1999","1999","Male","M",16,508081,Unreliable
,"10-14 years","10-14","2000","2000","Male","M",16,533143,Unreliable
,"10-14 years","10-14","2003","2003","Male","M",11,629174,Unreliable
,"10-14 years","10-14","2006","2006","Male","M",24,665088,3.6
,"10-14 years","10-14","2007","2007","Male","M",16,662831,Unreliable
,"10-14 years","10-14","2008","2008","Male","M",16,661145,Unreliable
,"10-14 years","10-14","2009","2009","Male","M",20,660354,3.0
,"10-14 years","10-14","2012","2012","Male","M",10,660478,Unreliable
,"10-14 years","10-14","2015","2015","Male","M",11,656361,Unreliable
,"15-19 years","15-19","1999","1999","Female","F",21,455912,4.6
,"15-19 years","15-19","1999","1999","Male","M",169,507053,33.3
,"15-19 years","15-19","2000","2000","Male","M",167,520598,32.1
,"15-19 years","15-19","2001","2001","Female","F",14,482766,Unreliable
,"15-19 years","15-19","2001","2001","Male","M",167,536049,31.2
,"15-19 years","15-19","2002","2002","Female","F",14,494246,Unreliable
,"15-19 years","15-19","2002","2002","Male","M",176,546518,32.2
,"15-19 years","15-19","2003","2003","Female","F",17,509931,Unreliable
,"15-19 years","15-19","2003","2003","Male","M",190,560448,33.9
,"15-19 years","15-19","2004","2004","Female","F",23,528893,4.3
,"15-19 years","15-19","2004","2004","Male","M",195,578416,33.7
,"15-19 years","15-19","2005","2005","Female","F",10,553425,Unreliable
,"15-19 years","15-19","2005","2005","Male","M",229,601491,38.1
,"15-19 years","15-19","2006","2006","Female","F",13,579570,Unreliable
,"15-19 years","15-19","2006","2006","Male","M",232,625753,37.1
,"15-19 years","15-19","2007","2007","Female","F",16,604871,Unreliable
,"15-19 years","15-19","2007","2007","Male","M",209,649553,32.2
,"15-19 years","15-19","2008","2008","Female","F",21,627232,3.3
,"15-19 years","15-19","2008","2008","Male","M",201,670642,30.0
,"15-19 years","15-19","2009","2009","Female","F",17,646788,Unreliable
,"15-19 years","15-19","2009","2009","Male","M",188,688217,27.3
,"15-19 years","15-19","2010","2010","Female","F",13,656442,Unreliable
,"15-19 years","15-19","2010","2010","Male","M",171,696238,24.6
,"15-19 years","15-19","2011","2011","Female","F",11,657413,Unreliable
,"15-19 years","15-19","2011","2011","Male","M",154,696205,22.1
,"15-19 years","15-19","2012","2012","Male","M",148,685614,21.6
,"15-19 years","15-19","2013","2013","Male","M",111,674237,16.5
,"15-19 years","15-19","2014","2014","Female","F",11,639802,Unreliable
,"15-19 years","15-19","2014","2014","Male","M",104,664392,15.7
,"15-19 years","15-19","2015","2015","Female","F",14,637112,Unreliable
,"15-19 years","15-19","2015","2015","Male","M",113,660711,17.1
,"15-19 years","15-19","2016","2016","Female","F",15,635775,Unreliable
,"15-19 years","15-19","2016","2016","Male","M",96,657180,14.6
,"15-19 years","15-19","2017","2017","Female","F",13,634931,Unreliable
,"15-19 years","15-19","2017","2017","Male","M",88,656388,13.4
,"20-24 years","20-24","1999","1999","Female","F",14,453221,Unreliable
,"20-24 years","20-24","1999","1999","Male","M",201,529882,37.9
,"20-24 years","20-24","2000","2000","Female","F",12,470167,Unreliable
,"20-24 years","20-24","2000","2000","Male","M",204,551509,37.0
,"20-24 years","20-24","2001","2001","Female","F",24,485619,4.9
,"20-24 years","20-24","2001","2001","Male","M",233,568662,41.0
,"20-24 years","20-24","2002","2002","Female","F",18,499021,Unreliable
,"20-24 years","20-24","2002","2002","Male","M",259,582698,44.4
,"20-24 years","20-24","2003","2003","Female","F",22,510927,4.3
,"20-24 years","20-24","2003","2003","Male","M",257,592385,43.4
,"20-24 years","20-24","2004","2004","Female","F",15,519373,Unreliable
,"20-24 years","20-24","2004","2004","Male","M",278,600408,46.3
,"20-24 years","20-24","2005","2005","Female","F",15,524196,Unreliable
,"20-24 years","20-24","2005","2005","Male","M",255,603262,42.3
,"20-24 years","20-24","2006","2006","Female","F",20,527964,3.8
,"20-24 years","20-24","2006","2006","Male","M",277,605268,45.8
,"20-24 years","20-24","2007","2007","Female","F",17,532402,Unreliable
,"20-24 years","20-24","2007","2007","Male","M",262,607338,43.1
,"20-24 years","20-24","2008","2008","Female","F",15,543617,Unreliable
,"20-24 years","20-24","2008","2008","Male","M",226,615020,36.7
,"20-24 years","20-24","2009","2009","Female","F",15,558413,Unreliable
,"20-24 years","20-24","2009","2009","Male","M",214,626773,34.1
,"20-24 years","20-24","2010","2010","Female","F",18,575551,Unreliable
,"20-24 years","20-24","2010","2010","Male","M",158,641028,24.6
,"20-24 years","20-24","2011","2011","Female","F",12,605278,Unreliable
,"20-24 years","20-24","2011","2011","Male","M",170,666050,25.5
,"20-24 years","20-24","2012","2012","Female","F",11,625420,Unreliable
,"20-24 years","20-24","2012","2012","Male","M",173,680781,25.4
,"20-24 years","20-24","2013","2013","Female","F",20,639936,3.1
,"20-24 years","20-24","2013","2013","Male","M",161,691807,23.3
,"20-24 years","20-24","2014","2014","Male","M",145,698054,20.8
,"20-24 years","20-24","2015","2015","Female","F",15,658092,Unreliable
,"20-24 years","20-24","2015","2015","Male","M",168,695482,24.2
,"20-24 years","20-24","2016","2016","Female","F",18,651723,Unreliable
,"20-24 years","20-24","2016","2016","Male","M",181,686006,26.4
,"20-24 years","20-24","2017","2017","Female","F",21,649075,3.2
,"20-24 years","20-24","2017","2017","Male","M",175,678018,25.8
,"25-29 years","25-29","1999","1999","Female","F",12,477940,Unreliable
,"25-29 years","25-29","1999","1999","Male","M",141,554152,25.4
,"25-29 years","25-29","2000","2000","Female","F",14,489376,Unreliable
,"25-29 years","25-29","2000","2000","Male","M",128,554421,23.1
,"25-29 years","25-29","2001","2001","Female","F",11,497102,Unreliable
,"25-29 years","25-29","2001","2001","Male","M",141,558149,25.3
,"25-29 years","25-29","2002","2002","Female","F",13,503124,Unreliable
,"25-29 years","25-29","2002","2002","Male","M",174,561368,31.0
,"25-29 years","25-29","2003","2003","Female","F",14,507632,Unreliable
,"25-29 years","25-29","2003","2003","Male","M",162,566120,28.6
,"25-29 years","25-29","2004","2004","Female","F",12,512981,Unreliable
