"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"1-4 years","1-4","2003","2003","Male","M","Black or African American","2054-5",11,68378,Unreliable
,"10-14 years","10-14","2002","2002","Male","M","Black or African American","2054-5",10,113069,Unreliable
,"10-14 years","10-14","2004","2004","Male","M","Black or African American","2054-5",10,111960,Unreliable
,"10-14 years","10-14","2005","2005","Male","M","Black or African American","2054-5",10,108407,Unreliable
,"15-19 years","15-19","1999","1999","Female","F","White","2106-3",12,460217,Unreliable
,"15-19 years","15-19","1999","1999","Male","M","Black or African American","2054-5",63,93402,67.5
,"15-19 years","15-19","1999","1999","Male","M","White","2106-3",22,489162,4.5
,"15-19 years","15-19","2000","2000","Female","F","Black or African American","2054-5",10,88502,Unreliable
,"15-19 years","15-19","2000","2000","Male","M","Black or African American","2054-5",86,94001,91.5
,"15-19 years","15-19","2000","2000","Male","M","White","2106-3",25,494783,5.1
,"15-19 years","15-19","2001","2001","Female","F","Black or African American","2054-5",10,90042,Unreliable
,"15-19 years","15-19","2001","2001","Male","M","Black or African American","2054-5",78,96367,80.9
,"15-19 years","15-19","2001","2001","Male","M","White","2106-3",20,497684,4.0
,"15-19 years","15-19","2002","2002","Female","F","White","2106-3",12,467002,Unreliable
,"15-19 years","15-19","2002","2002","Male","M","Black or African American","2054-5",77,98099,78.5
,"15-19 years","15-19","2002","2002","Male","M","White","2106-3",25,500237,5.0
,"15-19 years","15-19","2003","2003","Male","M","Black or African American","2054-5",100,100149,99.9
,"15-19 years","15-19","2003","2003","Male","M","White","2106-3",30,500961,6.0
,"15-19 years","15-19","2004","2004","Female","F","White","2106-3",10,473425,Unreliable
,"15-19 years","15-19","2004","2004","Male","M","Black or African American","2054-5",124,103174,120.2
,"15-19 years","15-19","2004","2004","Male","M","White","2106-3",33,504795,6.5
,"15-19 years","15-19","2005","2005","Female","F","Black or African American","2054-5",12,101064,Unreliable
,"15-19 years","15-19","2005","2005","Male","M","Black or African American","2054-5",107,106619,100.4
,"15-19 years","15-19","2005","2005","Male","M","White","2106-3",20,508232,3.9
,"15-19 years","15-19","2006","2006","Female","F","Black or African American","2054-5",12,102755,Unreliable
,"15-19 years","15-19","2006","2006","Female","F","White","2106-3",12,474367,Unreliable
,"15-19 years","15-19","2006","2006","Male","M","Black or African American","2054-5",125,108841,114.8
,"15-19 years","15-19","2006","2006","Male","M","White","2106-3",20,507695,3.9
,"15-19 years","15-19","2007","2007","Female","F","Black or African American","2054-5",11,103723,Unreliable
,"15-19 years","15-19","2007","2007","Male","M","Black or African American","2054-5",113,109683,103.0
,"15-19 years","15-19","2007","2007","Male","M","White","2106-3",15,503109,Unreliable
,"15-19 years","15-19","2008","2008","Female","F","Black or African American","2054-5",19,103605,Unreliable
,"15-19 years","15-19","2008","2008","Male","M","Black or African American","2054-5",77,109493,70.3
,"15-19 years","15-19","2008","2008","Male","M","White","2106-3",23,493734,4.7
,"15-19 years","15-19","2009","2009","Female","F","Black or African American","2054-5",12,102253,Unreliable
,"15-19 years","15-19","2009","2009","Male","M","Black or African American","2054-5",87,108147,80.4
,"15-19 years","15-19","2009","2009","Male","M","White","2106-3",19,481070,Unreliable
