"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"1-4 years","1-4","1999","1999","Male","M",13,483873,Unreliable
,"1-4 years","1-4","2000","2000","Male","M",14,486419,Unreliable
,"1-4 years","1-4","2002","2002","Male","M",16,494262,Unreliable
,"1-4 years","1-4","2003","2003","Female","F",11,484282,Unreliable
,"1-4 years","1-4","2005","2005","Female","F",12,505441,Unreliable
,"1-4 years","1-4","2005","2005","Male","M",12,526588,Unreliable
,"1-4 years","1-4","2006","2006","Male","M",11,526742,Unreliable
,"1-4 years","1-4","2007","2007","Female","F",14,510362,Unreliable
,"1-4 years","1-4","2007","2007","Male","M",10,531768,Unreliable
,"1-4 years","1-4","2009","2009","Male","M",12,552420,Unreliable
,"1-4 years","1-4","2012","2012","Female","F",10,533007,Unreliable
,"5-9 years","5-9","2000","2000","Female","F",22,604544,3.6
,"5-9 years","5-9","2000","2000","Male","M",12,632224,Unreliable
,"5-9 years","5-9","2001","2001","Female","F",11,605385,Unreliable
,"5-9 years","5-9","2001","2001","Male","M",10,631940,Unreliable
,"5-9 years","5-9","2002","2002","Female","F",13,599755,Unreliable
,"5-9 years","5-9","2002","2002","Male","M",12,625709,Unreliable
,"5-9 years","5-9","2003","2003","Female","F",11,593481,Unreliable
,"5-9 years","5-9","2003","2003","Male","M",22,618143,3.6
,"5-9 years","5-9","2005","2005","Female","F",18,579138,Unreliable
,"5-9 years","5-9","2005","2005","Male","M",10,602538,Unreliable
,"5-9 years","5-9","2007","2007","Female","F",11,589417,Unreliable
,"5-9 years","5-9","2007","2007","Male","M",21,613272,3.4
,"5-9 years","5-9","2008","2008","Male","M",12,627114,Unreliable
,"5-9 years","5-9","2009","2009","Female","F",11,619213,Unreliable
,"5-9 years","5-9","2013","2013","Female","F",10,660617,Unreliable
,"5-9 years","5-9","2016","2016","Female","F",10,663387,Unreliable
,"5-9 years","5-9","2017","2017","Female","F",11,654872,Unreliable
,"10-14 years","10-14","1999","1999","Female","F",10,485731,Unreliable
,"10-14 years","10-14","1999","1999","Male","M",17,508081,Unreliable
,"10-14 years","10-14","2000","2000","Female","F",10,510290,Unreliable
,"10-14 years","10-14","2000","2000","Male","M",20,533143,3.8
,"10-14 years","10-14","2001","2001","Female","F",15,547074,Unreliable
,"10-14 years","10-14","2001","2001","Male","M",11,571504,Unreliable
,"10-14 years","10-14","2002","2002","Male","M",17,602650,Unreliable
,"10-14 years","10-14","2003","2003","Female","F",14,602551,Unreliable
,"10-14 years","10-14","2003","2003","Male","M",22,629174,3.5
,"10-14 years","10-14","2004","2004","Female","F",17,623937,Unreliable
,"10-14 years","10-14","2004","2004","Male","M",17,651377,Unreliable
,"10-14 years","10-14","2005","2005","Female","F",13,634783,Unreliable
,"10-14 years","10-14","2005","2005","Male","M",24,662465,3.6
,"10-14 years","10-14","2006","2006","Female","F",18,638076,Unreliable
,"10-14 years","10-14","2006","2006","Male","M",13,665088,Unreliable
,"10-14 years","10-14","2007","2007","Female","F",13,636010,Unreliable
,"10-14 years","10-14","2007","2007","Male","M",13,662831,Unreliable
,"10-14 years","10-14","2008","2008","Male","M",11,661145,Unreliable
,"10-14 years","10-14","2009","2009","Male","M",13,660354,Unreliable
,"10-14 years","10-14","2012","2012","Male","M",13,660478,Unreliable
,"10-14 years","10-14","2013","2013","Male","M",15,658481,Unreliable
,"10-14 years","10-14","2014","2014","Male","M",18,655990,Unreliable
,"10-14 years","10-14","2017","2017","Male","M",15,674424,Unreliable
,"15-19 years","15-19","1999","1999","Female","F",48,455912,10.5
,"15-19 years","15-19","1999","1999","Male","M",88,507053,17.4
,"15-19 years","15-19","2000","2000","Female","F",32,468885,6.8
,"15-19 years","15-19","2000","2000","Male","M",102,520598,19.6
,"15-19 years","15-19","2001","2001","Female","F",37,482766,7.7
,"15-19 years","15-19","2001","2001","Male","M",104,536049,19.4
,"15-19 years","15-19","2002","2002","Female","F",52,494246,10.5
,"15-19 years","15-19","2002","2002","Male","M",133,546518,24.3
,"15-19 years","15-19","2003","2003","Female","F",50,509931,9.8
,"15-19 years","15-19","2003","2003","Male","M",133,560448,23.7
,"15-19 years","15-19","2004","2004","Female","F",56,528893,10.6
,"15-19 years","15-19","2004","2004","Male","M",127,578416,22.0
,"15-19 years","15-19","2005","2005","Female","F",73,553425,13.2
,"15-19 years","15-19","2005","2005","Male","M",123,601491,20.4
,"15-19 years","15-19","2006","2006","Female","F",54,579570,9.3
,"15-19 years","15-19","2006","2006","Male","M",153,625753,24.5
,"15-19 years","15-19","2007","2007","Female","F",41,604871,6.8
,"15-19 years","15-19","2007","2007","Male","M",136,649553,20.9
,"15-19 years","15-19","2008","2008","Female","F",39,627232,6.2
,"15-19 years","15-19","2008","2008","Male","M",98,670642,14.6
,"15-19 years","15-19","2009","2009","Female","F",37,646788,5.7
,"15-19 years","15-19","2009","2009","Male","M",88,688217,12.8
,"15-19 years","15-19","2010","2010","Female","F",31,656442,4.7
,"15-19 years","15-19","2010","2010","Male","M",57,696238,8.2
,"15-19 years","15-19","2011","2011","Female","F",25,657413,3.8
,"15-19 years","15-19","2011","2011","Male","M",69,696205,9.9
,"15-19 years","15-19","2012","2012","Female","F",21,651121,3.2
,"15-19 years","15-19","2012","2012","Male","M",66,685614,9.6
,"15-19 years","15-19","2013","2013","Female","F",23,643712,3.6
,"15-19 years","15-19","2013","2013","Male","M",62,674237,9.2
,"15-19 years","15-19","2014","2014","Female","F",30,639802,4.7
,"15-19 years","15-19","2014","2014","Male","M",75,664392,11.3
,"15-19 years","15-19","2015","2015","Female","F",35,637112,5.5
,"15-19 years","15-19","2015","2015","Male","M",85,660711,12.9
,"15-19 years","15-19","2016","2016","Female","F",44,635775,6.9
,"15-19 years","15-19","2016","2016","Male","M",86,657180,13.1
,"15-19 years","15-19","2017","2017","Female","F",41,634931,6.5
,"15-19 years","15-19","2017","2017","Male","M",82,656388,12.5
,"20-24 years","20-24","1999","1999","Female","F",35,453221,7.7
,"20-24 years","20-24","1999","1999","Male","M",139,529882,26.2
,"20-24 years","20-24","2000","2000","Female","F",41,470167,8.7
,"20-24 years","20-24","2000","2000","Male","M",131,551509,23.8
,"20-24 years","20-24","2001","2001","Female","F",40,485619,8.2
,"20-24 years","20-24","2001","2001","Male","M",159,568662,28.0
,"20-24 years","20-24","2002","2002","Female","F",45,499021,9.0
,"20-24 years","20-24","2002","2002","Male","M",195,582698,33.5
,"20-24 years","20-24","2003","2003","Female","F",37,510927,7.2
,"20-24 years","20-24","2003","2003","Male","M",184,592385,31.1
,"20-24 years","20-24","2004","2004","Female","F",37,519373,7.1
,"20-24 years","20-24","2004","2004","Male","M",173,600408,28.8
,"20-24 years","20-24","2005","2005","Female","F",57,524196,10.9
,"20-24 years","20-24","2005","2005","Male","M",210,603262,34.8
,"20-24 years","20-24","2006","2006","Female","F",46,527964,8.7
,"20-24 years","20-24","2006","2006","Male","M",230,605268,38.0
,"20-24 years","20-24","2007","2007","Female","F",64,532402,12.0
,"20-24 years","20-24","2007","2007","Male","M",226,607338,37.2
,"20-24 years","20-24","2008","2008","Female","F",44,543617,8.1
,"20-24 years","20-24","2008","2008","Male","M",191,615020,31.1
,"20-24 years","20-24","2009","2009","Female","F",40,558413,7.2
,"20-24 years","20-24","2009","2009","Male","M",157,626773,25.0
,"20-24 years","20-24","2010","2010","Female","F",34,575551,5.9
,"20-24 years","20-24","2010","2010","Male","M",130,641028,20.3
,"20-24 years","20-24","2011","2011","Female","F",41,605278,6.8
,"20-24 years","20-24","2011","2011","Male","M",119,666050,17.9
,"20-24 years","20-24","2012","2012","Female","F",34,625420,5.4
,"20-24 years","20-24","2012","2012","Male","M",135,680781,19.8
,"20-24 years","20-24","2013","2013","Female","F",41,639936,6.4
,"20-24 years","20-24","2013","2013","Male","M",169,691807,24.4
,"20-24 years","20-24","2014","2014","Female","F",53,656849,8.1
,"20-24 years","20-24","2014","2014","Male","M",168,698054,24.1
,"20-24 years","20-24","2015","2015","Female","F",44,658092,6.7
,"20-24 years","20-24","2015","2015","Male","M",169,695482,24.3
,"20-24 years","20-24","2016","2016","Female","F",69,651723,10.6
,"20-24 years","20-24","2016","2016","Male","M",209,686006,30.5
,"20-24 years","20-24","2017","2017","Female","F",65,649075,10.0
,"20-24 years","20-24","2017","2017","Male","M",189,678018,27.9
,"25-29 years","25-29","1999","1999","Female","F",30,477940,6.3
,"25-29 years","25-29","1999","1999","Male","M",101,554152,18.2
,"25-29 years","25-29","2000","2000","Female","F",22,489376,4.5
,"25-29 years","25-29","2000","2000","Male","M",98,554421,17.7
,"25-29 years","25-29","2001","2001","Female","F",29,497102,5.8
,"25-29 years","25-29","2001","2001","Male","M",90,558149,16.1
,"25-29 years","25-29","2002","2002","Female","F",28,503124,5.6
,"25-29 years","25-29","2002","2002","Male","M",110,561368,19.6
,"25-29 years","25-29","2003","2003","Female","F",33,507632,6.5
,"25-29 years","25-29","2003","2003","Male","M",116,566120,20.5
,"25-29 years","25-29","2004","2004","Female","F",38,512981,7.4
,"25-29 years","25-29","2004","2004","Male","M",138,571862,24.1
,"25-29 years","25-29","2005","2005","Female","F",34,519368,6.5
,"25-29 years","25-29","2005","2005","Male","M",152,580808,26.2
,"25-29 years","25-29","2006","2006","Female","F",34,527272,6.4
,"25-29 years","25-29","2006","2006","Male","M",115,588931,19.5
,"25-29 years","25-29","2007","2007","Female","F",26,535851,4.9
,"25-29 years","25-29","2007","2007","Male","M",161,597093,27.0
,"25-29 years","25-29","2008","2008","Female","F",27,545878,4.9
,"25-29 years","25-29","2008","2008","Male","M",121,605018,20.0
,"25-29 years","25-29","2009","2009","Female","F",29,554306,5.2
