"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"5-9 years","5-9","1999","1999","Female","F","White","2106-3",11,492238,Unreliable
,"5-9 years","5-9","1999","1999","Male","M","White","2106-3",14,521065,Unreliable
,"5-9 years","5-9","2000","2000","Female","F","White","2106-3",12,475739,Unreliable
,"5-9 years","5-9","2001","2001","Male","M","White","2106-3",12,479793,Unreliable
,"5-9 years","5-9","2003","2003","Female","F","White","2106-3",10,417002,Unreliable
,"5-9 years","5-9","2004","2004","Female","F","White","2106-3",12,400787,Unreliable
,"5-9 years","5-9","2004","2004","Male","M","White","2106-3",13,423931,Unreliable
,"10-14 years","10-14","1999","1999","Male","M","White","2106-3",21,513822,4.1
,"10-14 years","10-14","2000","2000","Female","F","White","2106-3",12,494544,Unreliable
,"10-14 years","10-14","2000","2000","Male","M","White","2106-3",13,521652,Unreliable
,"10-14 years","10-14","2001","2001","Female","F","White","2106-3",11,497402,Unreliable
,"10-14 years","10-14","2001","2001","Male","M","White","2106-3",13,525356,Unreliable
,"10-14 years","10-14","2002","2002","Female","F","White","2106-3",12,496407,Unreliable
,"10-14 years","10-14","2002","2002","Male","M","White","2106-3",10,523807,Unreliable
,"10-14 years","10-14","2003","2003","Female","F","White","2106-3",12,489444,Unreliable
,"10-14 years","10-14","2003","2003","Male","M","White","2106-3",21,516571,4.1
,"10-14 years","10-14","2004","2004","Female","F","White","2106-3",15,477220,Unreliable
,"10-14 years","10-14","2004","2004","Male","M","White","2106-3",18,504173,Unreliable
,"10-14 years","10-14","2005","2005","Male","M","White","2106-3",10,483752,Unreliable
,"10-14 years","10-14","2006","2006","Female","F","White","2106-3",11,438556,Unreliable
,"15-19 years","15-19","1999","1999","Female","F","White","2106-3",55,460217,12.0
,"15-19 years","15-19","1999","1999","Male","M","Black or African American","2054-5",11,93402,Unreliable
,"15-19 years","15-19","1999","1999","Male","M","White","2106-3",116,489162,23.7
,"15-19 years","15-19","2000","2000","Female","F","White","2106-3",58,466773,12.4
,"15-19 years","15-19","2000","2000","Male","M","Black or African American","2054-5",13,94001,Unreliable
,"15-19 years","15-19","2000","2000","Male","M","White","2106-3",94,494783,19.0
,"15-19 years","15-19","2001","2001","Female","F","Black or African American","2054-5",10,90042,Unreliable
,"15-19 years","15-19","2001","2001","Female","F","White","2106-3",60,464605,12.9
,"15-19 years","15-19","2001","2001","Male","M","Black or African American","2054-5",20,96367,20.8
,"15-19 years","15-19","2001","2001","Male","M","White","2106-3",120,497684,24.1
,"15-19 years","15-19","2002","2002","Female","F","White","2106-3",86,467002,18.4
,"15-19 years","15-19","2002","2002","Male","M","Black or African American","2054-5",15,98099,Unreliable
,"15-19 years","15-19","2002","2002","Male","M","White","2106-3",150,500237,30.0
,"15-19 years","15-19","2003","2003","Female","F","Black or African American","2054-5",12,94857,Unreliable
,"15-19 years","15-19","2003","2003","Female","F","White","2106-3",66,470105,14.0
,"15-19 years","15-19","2003","2003","Male","M","Black or African American","2054-5",19,100149,Unreliable
,"15-19 years","15-19","2003","2003","Male","M","White","2106-3",136,500961,27.1
,"15-19 years","15-19","2004","2004","Female","F","White","2106-3",77,473425,16.3
,"15-19 years","15-19","2004","2004","Male","M","Black or African American","2054-5",26,103174,25.2
,"15-19 years","15-19","2004","2004","Male","M","White","2106-3",125,504795,24.8
,"15-19 years","15-19","2005","2005","Female","F","White","2106-3",72,475448,15.1
,"15-19 years","15-19","2005","2005","Male","M","Black or African American","2054-5",26,106619,24.4
,"15-19 years","15-19","2005","2005","Male","M","White","2106-3",119,508232,23.4
,"15-19 years","15-19","2006","2006","Female","F","White","2106-3",55,474367,11.6
,"15-19 years","15-19","2006","2006","Male","M","Black or African American","2054-5",14,108841,Unreliable
,"15-19 years","15-19","2006","2006","Male","M","White","2106-3",117,507695,23.0
,"15-19 years","15-19","2007","2007","Female","F","White","2106-3",47,469801,10.0
,"15-19 years","15-19","2007","2007","Male","M","Black or African American","2054-5",13,109683,Unreliable
,"15-19 years","15-19","2007","2007","Male","M","White","2106-3",98,503109,19.5
,"15-19 years","15-19","2008","2008","Female","F","White","2106-3",37,460223,8.0
,"15-19 years","15-19","2008","2008","Male","M","Black or African American","2054-5",13,109493,Unreliable
,"15-19 years","15-19","2008","2008","Male","M","White","2106-3",70,493734,14.2
,"15-19 years","15-19","2009","2009","Female","F","White","2106-3",28,447543,6.3
,"15-19 years","15-19","2009","2009","Male","M","Black or African American","2054-5",11,108147,Unreliable
,"15-19 years","15-19","2009","2009","Male","M","White","2106-3",58,481070,12.1
,"15-19 years","15-19","2010","2010","Female","F","White","2106-3",17,435743,Unreliable
,"15-19 years","15-19","2010","2010","Male","M","Black or African American","2054-5",12,106021,Unreliable
,"15-19 years","15-19","2010","2010","Male","M","White","2106-3",34,466650,7.3
,"15-19 years","15-19","2011","2011","Female","F","White","2106-3",22,412410,5.3
,"15-19 years","15-19","2011","2011","Male","M","White","2106-3",42,444469,9.4
,"15-19 years","15-19","2012","2012","Female","F","White","2106-3",16,403650,Unreliable
,"15-19 years","15-19","2012","2012","Male","M","Black or African American","2054-5",12,98285,Unreliable
,"15-19 years","15-19","2012","2012","Male","M","White","2106-3",40,433209,9.2
,"15-19 years","15-19","2013","2013","Female","F","White","2106-3",23,392948,5.9
,"15-19 years","15-19","2013","2013","Male","M","White","2106-3",43,420409,10.2
,"15-19 years","15-19","2014","2014","Female","F","White","2106-3",23,384771,6.0
,"15-19 years","15-19","2014","2014","Male","M","Black or African American","2054-5",15,92466,Unreliable
,"15-19 years","15-19","2014","2014","Male","M","White","2106-3",47,410174,11.5
,"15-19 years","15-19","2015","2015","Female","F","White","2106-3",29,377612,7.7
,"15-19 years","15-19","2015","2015","Male","M","Black or African American","2054-5",12,90107,Unreliable
,"15-19 years","15-19","2015","2015","Male","M","White","2106-3",40,402461,9.9
,"15-19 years","15-19","2016","2016","Female","F","White","2106-3",19,371459,Unreliable
,"15-19 years","15-19","2016","2016","Male","M","White","2106-3",45,394080,11.4
,"15-19 years","15-19","2017","2017","Female","F","White","2106-3",14,364046,Unreliable
,"15-19 years","15-19","2017","2017","Male","M","Black or African American","2054-5",13,85555,Unreliable
,"15-19 years","15-19","2017","2017","Male","M","White","2106-3",42,385714,10.9
,"20-24 years","20-24","1999","1999","Female","F","Black or African American","2054-5",12,76684,Unreliable
,"20-24 years","20-24","1999","1999","Female","F","White","2106-3",35,414223,8.4
,"20-24 years","20-24","1999","1999","Male","M","Black or African American","2054-5",23,79726,28.8
,"20-24 years","20-24","1999","1999","Male","M","White","2106-3",117,445516,26.3
,"20-24 years","20-24","2000","2000","Female","F","White","2106-3",45,428446,10.5
,"20-24 years","20-24","2000","2000","Male","M","Black or African American","2054-5",24,81576,29.4
,"20-24 years","20-24","2000","2000","Male","M","White","2106-3",141,455393,31.0
,"20-24 years","20-24","2001","2001","Female","F","White","2106-3",48,454736,10.6
,"20-24 years","20-24","2001","2001","Male","M","Black or African American","2054-5",17,85657,Unreliable
,"20-24 years","20-24","2001","2001","Male","M","White","2106-3",140,481743,29.1
,"20-24 years","20-24","2002","2002","Female","F","White","2106-3",58,465698,12.5
,"20-24 years","20-24","2002","2002","Male","M","Black or African American","2054-5",28,87604,32.0
,"20-24 years","20-24","2002","2002","Male","M","White","2106-3",156,491070,31.8
,"20-24 years","20-24","2003","2003","Female","F","White","2106-3",66,473605,13.9
,"20-24 years","20-24","2003","2003","Male","M","Black or African American","2054-5",25,87741,28.5
,"20-24 years","20-24","2003","2003","Male","M","White","2106-3",156,489737,31.9
,"20-24 years","20-24","2004","2004","Female","F","Black or African American","2054-5",10,84445,Unreliable
,"20-24 years","20-24","2004","2004","Female","F","White","2106-3",75,475637,15.8
,"20-24 years","20-24","2004","2004","Male","M","Black or African American","2054-5",20,89363,22.4
,"20-24 years","20-24","2004","2004","Male","M","White","2106-3",156,497681,31.3
,"20-24 years","20-24","2005","2005","Female","F","Black or African American","2054-5",11,84039,Unreliable
,"20-24 years","20-24","2005","2005","Female","F","White","2106-3",53,471736,11.2
,"20-24 years","20-24","2005","2005","Male","M","Black or African American","2054-5",29,90931,31.9
,"20-24 years","20-24","2005","2005","Male","M","White","2106-3",150,503706,29.8
,"20-24 years","20-24","2006","2006","Female","F","Black or African American","2054-5",10,84898,Unreliable
,"20-24 years","20-24","2006","2006","Female","F","White","2106-3",56,465815,12.0
,"20-24 years","20-24","2006","2006","Male","M","Black or African American","2054-5",26,91804,28.3
,"20-24 years","20-24","2006","2006","Male","M","White","2106-3",163,501186,32.5
,"20-24 years","20-24","2007","2007","Female","F","Black or African American","2054-5",10,85698,Unreliable
,"20-24 years","20-24","2007","2007","Female","F","White","2106-3",47,465442,10.1
,"20-24 years","20-24","2007","2007","Male","M","Black or African American","2054-5",23,92871,24.8
,"20-24 years","20-24","2007","2007","Male","M","White","2106-3",181,505074,35.8
,"20-24 years","20-24","2008","2008","Female","F","White","2106-3",27,465051,5.8
,"20-24 years","20-24","2008","2008","Male","M","Black or African American","2054-5",15,94003,Unreliable
,"20-24 years","20-24","2008","2008","Male","M","White","2106-3",164,503998,32.5
,"20-24 years","20-24","2009","2009","Female","F","White","2106-3",32,465433,6.9
,"20-24 years","20-24","2009","2009","Male","M","Black or African American","2054-5",19,95816,Unreliable
,"20-24 years","20-24","2009","2009","Male","M","White","2106-3",117,504641,23.2
,"20-24 years","20-24","2010","2010","Female","F","White","2106-3",32,464787,6.9
,"20-24 years","20-24","2010","2010","Male","M","Black or African American","2054-5",22,97568,22.5
,"20-24 years","20-24","2010","2010","Male","M","White","2106-3",85,504159,16.9
,"20-24 years","20-24","2011","2011","Female","F","White","2106-3",41,474883,8.6
,"20-24 years","20-24","2011","2011","Male","M","Black or African American","2054-5",21,104082,20.2
,"20-24 years","20-24","2011","2011","Male","M","White","2106-3",100,513984,19.5
,"20-24 years","20-24","2012","2012","Female","F","Black or African American","2054-5",12,100851,Unreliable
,"20-24 years","20-24","2012","2012","Female","F","White","2106-3",32,476602,6.7
,"20-24 years","20-24","2012","2012","Male","M","Black or African American","2054-5",15,107850,Unreliable
,"20-24 years","20-24","2012","2012","Male","M","White","2106-3",117,515994,22.7
,"20-24 years","20-24","2013","2013","Female","F","White","2106-3",27,467462,5.8
,"20-24 years","20-24","2013","2013","Male","M","Black or African American","2054-5",14,108940,Unreliable
,"20-24 years","20-24","2013","2013","Male","M","White","2106-3",102,508760,20.0
