"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"< 1 year","1","1999","1999","Female","F",557,114478,486.6
,"< 1 year","1","1999","1999","Male","M",683,120169,568.4
,"< 1 year","1","2000","2000","Female","F",615,114245,538.3
,"< 1 year","1","2000","2000","Male","M",706,120164,587.5
,"< 1 year","1","2001","2001","Female","F",578,127721,452.5
,"< 1 year","1","2001","2001","Male","M",717,133871,535.6
,"< 1 year","1","2002","2002","Female","F",608,128214,474.2
,"< 1 year","1","2002","2002","Male","M",724,132288,547.3
,"< 1 year","1","2003","2003","Female","F",607,129268,469.6
,"< 1 year","1","2003","2003","Male","M",763,134622,566.8
,"< 1 year","1","2004","2004","Female","F",593,130014,456.1
,"< 1 year","1","2004","2004","Male","M",785,134144,585.2
,"< 1 year","1","2005","2005","Female","F",636,132412,480.3
,"< 1 year","1","2005","2005","Male","M",815,137472,592.8
,"< 1 year","1","2006","2006","Female","F",649,134471,482.6
,"< 1 year","1","2006","2006","Male","M",789,138693,568.9
,"< 1 year","1","2007","2007","Female","F",665,137444,483.8
,"< 1 year","1","2007","2007","Male","M",807,142268,567.2
,"< 1 year","1","2008","2008","Female","F",665,137099,485.1
,"< 1 year","1","2008","2008","Male","M",790,142922,552.7
,"< 1 year","1","2009","2009","Female","F",583,131466,443.5
,"< 1 year","1","2009","2009","Male","M",722,136026,530.8
,"< 1 year","1","2010","2010","Female","F",556,129848,428.2
,"< 1 year","1","2010","2010","Male","M",672,134724,498.8
,"< 1 year","1","2011","2011","Female","F",543,133312,407.3
,"< 1 year","1","2011","2011","Male","M",638,139407,457.7
,"< 1 year","1","2012","2012","Female","F",533,134398,396.6
,"< 1 year","1","2012","2012","Male","M",593,139995,423.6
,"< 1 year","1","2013","2013","Female","F",527,131507,400.7
,"< 1 year","1","2013","2013","Male","M",639,137117,466.0
,"< 1 year","1","2014","2014","Female","F",490,129869,377.3
,"< 1 year","1","2014","2014","Male","M",558,134921,413.6
,"< 1 year","1","2015","2015","Female","F",503,128749,390.7
,"< 1 year","1","2015","2015","Male","M",569,134375,423.4
,"< 1 year","1","2016","2016","Female","F",441,126142,349.6
,"< 1 year","1","2016","2016","Male","M",574,131547,436.3
,"< 1 year","1","2017","2017","Female","F",470,124305,378.1
,"< 1 year","1","2017","2017","Male","M",578,129853,445.1
,"1-4 years","1-4","1999","1999","Female","F",78,464160,16.8
,"1-4 years","1-4","1999","1999","Male","M",80,483873,16.5
,"1-4 years","1-4","2000","2000","Female","F",67,467050,14.3
,"1-4 years","1-4","2000","2000","Male","M",105,486419,21.6
,"1-4 years","1-4","2001","2001","Female","F",72,463407,15.5
,"1-4 years","1-4","2001","2001","Male","M",81,483945,16.7
,"1-4 years","1-4","2002","2002","Female","F",65,472099,13.8
,"1-4 years","1-4","2002","2002","Male","M",66,494262,13.4
,"1-4 years","1-4","2003","2003","Female","F",73,484282,15.1
,"1-4 years","1-4","2003","2003","Male","M",107,505900,21.2
,"1-4 years","1-4","2004","2004","Female","F",72,496803,14.5
,"1-4 years","1-4","2004","2004","Male","M",82,519828,15.8
,"1-4 years","1-4","2005","2005","Female","F",73,505441,14.4
,"1-4 years","1-4","2005","2005","Male","M",88,526588,16.7
,"1-4 years","1-4","2006","2006","Female","F",73,506302,14.4
,"1-4 years","1-4","2006","2006","Male","M",86,526742,16.3
,"1-4 years","1-4","2007","2007","Female","F",75,510362,14.7
,"1-4 years","1-4","2007","2007","Male","M",77,531768,14.5
,"1-4 years","1-4","2008","2008","Female","F",59,520277,11.3
,"1-4 years","1-4","2008","2008","Male","M",80,541486,14.8
,"1-4 years","1-4","2009","2009","Female","F",67,528943,12.7
,"1-4 years","1-4","2009","2009","Male","M",77,552420,13.9
,"1-4 years","1-4","2010","2010","Female","F",71,530996,13.4
,"1-4 years","1-4","2010","2010","Male","M",73,554338,13.2
,"1-4 years","1-4","2011","2011","Female","F",79,532739,14.8
,"1-4 years","1-4","2011","2011","Male","M",77,556361,13.8
,"1-4 years","1-4","2012","2012","Female","F",60,533007,11.3
,"1-4 years","1-4","2012","2012","Male","M",64,555050,11.5
,"1-4 years","1-4","2013","2013","Female","F",53,523866,10.1
,"1-4 years","1-4","2013","2013","Male","M",59,543934,10.8
,"1-4 years","1-4","2014","2014","Female","F",58,522532,11.1
,"1-4 years","1-4","2014","2014","Male","M",57,540615,10.5
,"1-4 years","1-4","2015","2015","Female","F",59,516055,11.4
,"1-4 years","1-4","2015","2015","Male","M",50,535602,9.3
,"1-4 years","1-4","2016","2016","Female","F",61,504430,12.1
,"1-4 years","1-4","2016","2016","Male","M",65,524084,12.4
,"1-4 years","1-4","2017","2017","Female","F",45,499816,9.0
,"1-4 years","1-4","2017","2017","Male","M",61,520197,11.7
,"5-9 years","5-9","1999","1999","Female","F",49,595806,8.2
,"5-9 years","5-9","1999","1999","Male","M",48,622286,7.7
,"5-9 years","5-9","2000","2000","Female","F",40,604544,6.6
,"5-9 years","5-9","2000","2000","Male","M",51,632224,8.1
,"5-9 years","5-9","2001","2001","Female","F",44,605385,7.3
,"5-9 years","5-9","2001","2001","Male","M",57,631940,9.0
,"5-9 years","5-9","2002","2002","Female","F",49,599755,8.2
,"5-9 years","5-9","2002","2002","Male","M",56,625709,8.9
,"5-9 years","5-9","2003","2003","Female","F",46,593481,7.8
,"5-9 years","5-9","2003","2003","Male","M",56,618143,9.1
,"5-9 years","5-9","2004","2004","Female","F",39,585743,6.7
,"5-9 years","5-9","2004","2004","Male","M",50,608669,8.2
,"5-9 years","5-9","2005","2005","Female","F",44,579138,7.6
,"5-9 years","5-9","2005","2005","Male","M",39,602538,6.5
,"5-9 years","5-9","2006","2006","Female","F",42,582593,7.2
,"5-9 years","5-9","2006","2006","Male","M",54,607655,8.9
,"5-9 years","5-9","2007","2007","Female","F",51,589417,8.7
,"5-9 years","5-9","2007","2007","Male","M",54,613272,8.8
,"5-9 years","5-9","2008","2008","Female","F",46,602269,7.6
,"5-9 years","5-9","2008","2008","Male","M",53,627114,8.5
,"5-9 years","5-9","2009","2009","Female","F",52,619213,8.4
,"5-9 years","5-9","2009","2009","Male","M",47,643987,7.3
,"5-9 years","5-9","2010","2010","Female","F",42,634528,6.6
,"5-9 years","5-9","2010","2010","Male","M",49,658630,7.4
,"5-9 years","5-9","2011","2011","Female","F",33,644262,5.1
,"5-9 years","5-9","2011","2011","Male","M",39,668524,5.8
,"5-9 years","5-9","2012","2012","Female","F",34,652928,5.2
,"5-9 years","5-9","2012","2012","Male","M",46,678326,6.8
,"5-9 years","5-9","2013","2013","Female","F",45,660617,6.8
,"5-9 years","5-9","2013","2013","Male","M",38,688573,5.5
,"5-9 years","5-9","2014","2014","Female","F",29,662772,4.4
,"5-9 years","5-9","2014","2014","Male","M",61,689403,8.8
,"5-9 years","5-9","2015","2015","Female","F",29,662045,4.4
,"5-9 years","5-9","2015","2015","Male","M",37,687809,5.4
,"5-9 years","5-9","2016","2016","Female","F",50,663387,7.5
,"5-9 years","5-9","2016","2016","Male","M",51,689757,7.4
,"5-9 years","5-9","2017","2017","Female","F",35,654872,5.3
,"5-9 years","5-9","2017","2017","Male","M",51,681473,7.5
,"10-14 years","10-14","1999","1999","Female","F",42,485731,8.6
,"10-14 years","10-14","1999","1999","Male","M",44,508081,8.7
,"10-14 years","10-14","2000","2000","Female","F",38,510290,7.4
,"10-14 years","10-14","2000","2000","Male","M",57,533143,10.7
,"10-14 years","10-14","2001","2001","Female","F",48,547074,8.8
,"10-14 years","10-14","2001","2001","Male","M",39,571504,6.8
,"10-14 years","10-14","2002","2002","Female","F",49,577121,8.5
,"10-14 years","10-14","2002","2002","Male","M",53,602650,8.8
,"10-14 years","10-14","2003","2003","Female","F",63,602551,10.5
,"10-14 years","10-14","2003","2003","Male","M",61,629174,9.7
,"10-14 years","10-14","2004","2004","Female","F",42,623937,6.7
,"10-14 years","10-14","2004","2004","Male","M",55,651377,8.4
,"10-14 years","10-14","2005","2005","Female","F",37,634783,5.8
,"10-14 years","10-14","2005","2005","Male","M",73,662465,11.0
,"10-14 years","10-14","2006","2006","Female","F",65,638076,10.2
,"10-14 years","10-14","2006","2006","Male","M",60,665088,9.0
,"10-14 years","10-14","2007","2007","Female","F",44,636010,6.9
,"10-14 years","10-14","2007","2007","Male","M",61,662831,9.2
,"10-14 years","10-14","2008","2008","Female","F",64,635493,10.1
,"10-14 years","10-14","2008","2008","Male","M",42,661145,6.4
,"10-14 years","10-14","2009","2009","Female","F",51,635666,8.0
,"10-14 years","10-14","2009","2009","Male","M",49,660354,7.4
,"10-14 years","10-14","2010","2010","Female","F",45,637828,7.1
,"10-14 years","10-14","2010","2010","Male","M",53,664140,8.0
,"10-14 years","10-14","2011","2011","Female","F",44,639059,6.9
,"10-14 years","10-14","2011","2011","Male","M",57,665324,8.6
,"10-14 years","10-14","2012","2012","Female","F",46,634675,7.2
,"10-14 years","10-14","2012","2012","Male","M",43,660478,6.5
,"10-14 years","10-14","2013","2013","Female","F",54,632676,8.5
,"10-14 years","10-14","2013","2013","Male","M",51,658481,7.7
,"10-14 years","10-14","2014","2014","Female","F",41,635483,6.5
,"10-14 years","10-14","2014","2014","Male","M",65,655990,9.9
,"10-14 years","10-14","2015","2015","Female","F",37,636829,5.8
,"10-14 years","10-14","2015","2015","Male","M",47,656361,7.2
,"10-14 years","10-14","2016","2016","Female","F",36,642848,5.6
,"10-14 years","10-14","2016","2016","Male","M",52,662519,7.8
,"10-14 years","10-14","2017","2017","Female","F",38,652171,5.8
,"10-14 years","10-14","2017","2017","Male","M",62,674424,9.2
,"15-19 years","15-19","1999","1999","Female","F",42,455912,9.2
,"15-19 years","15-19","1999","1999","Male","M",74,507053,14.6
,"15-19 years","15-19","2000","2000","Female","F",49,468885,10.5
,"15-19 years","15-19","2000","2000","Male","M",83,520598,15.9
,"15-19 years","15-19","2001","2001","Female","F",57,482766,11.8
,"15-19 years","15-19","2001","2001","Male","M",133,536049,24.8
,"15-19 years","15-19","2002","2002","Female","F",45,494246,9.1
,"15-19 years","15-19","2002","2002","Male","M",84,546518,15.4
,"15-19 years","15-19","2003","2003","Female","F",58,509931,11.4
,"15-19 years","15-19","2003","2003","Male","M",95,560448,17.0
,"15-19 years","15-19","2004","2004","Female","F",35,528893,6.6
,"15-19 years","15-19","2004","2004","Male","M",83,578416,14.3
,"15-19 years","15-19","2005","2005","Female","F",65,553425,11.7
,"15-19 years","15-19","2005","2005","Male","M",96,601491,16.0
,"15-19 years","15-19","2006","2006","Female","F",61,579570,10.5
,"15-19 years","15-19","2006","2006","Male","M",104,625753,16.6
,"15-19 years","15-19","2007","2007","Female","F",51,604871,8.4
,"15-19 years","15-19","2007","2007","Male","M",90,649553,13.9
,"15-19 years","15-19","2008","2008","Female","F",65,627232,10.4
,"15-19 years","15-19","2008","2008","Male","M",96,670642,14.3
,"15-19 years","15-19","2009","2009","Female","F",66,646788,10.2
,"15-19 years","15-19","2009","2009","Male","M",98,688217,14.2
,"15-19 years","15-19","2010","2010","Female","F",50,656442,7.6
,"15-19 years","15-19","2010","2010","Male","M",92,696238,13.2
,"15-19 years","15-19","2011","2011","Female","F",56,657413,8.5
,"15-19 years","15-19","2011","2011","Male","M",92,696205,13.2
,"15-19 years","15-19","2012","2012","Female","F",48,651121,7.4
,"15-19 years","15-19","2012","2012","Male","M",88,685614,12.8
,"15-19 years","15-19","2013","2013","Female","F",40,643712,6.2
,"15-19 years","15-19","2013","2013","Male","M",72,674237,10.7
,"15-19 years","15-19","2014","2014","Female","F",50,639802,7.8
,"15-19 years","15-19","2014","2014","Male","M",77,664392,11.6
