"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"< 1 year","1","1999","1999","Female","F","Black or African American","2054-5",201,16716,1202.4
,"< 1 year","1","1999","1999","Female","F","White","2106-3",359,81456,440.7
,"< 1 year","1","1999","1999","Male","M","Black or African American","2054-5",219,17295,1266.3
,"< 1 year","1","1999","1999","Male","M","White","2106-3",443,85860,516.0
,"< 1 year","1","2000","2000","Female","F","Black or African American","2054-5",190,16893,1124.7
,"< 1 year","1","2000","2000","Female","F","White","2106-3",373,79598,468.6
,"< 1 year","1","2000","2000","Male","M","Black or African American","2054-5",227,17539,1294.3
,"< 1 year","1","2000","2000","Male","M","White","2106-3",444,84144,527.7
,"< 1 year","1","2001","2001","Female","F","Black or African American","2054-5",200,17126,1167.8
,"< 1 year","1","2001","2001","Female","F","White","2106-3",366,82224,445.1
,"< 1 year","1","2001","2001","Male","M","Black or African American","2054-5",203,17304,1173.1
,"< 1 year","1","2001","2001","Male","M","White","2106-3",449,86805,517.3
,"< 1 year","1","2002","2002","Female","F","Black or African American","2054-5",171,16424,1041.2
,"< 1 year","1","2002","2002","Female","F","White","2106-3",347,79715,435.3
,"< 1 year","1","2002","2002","Male","M","Black or African American","2054-5",210,16838,1247.2
,"< 1 year","1","2002","2002","Male","M","White","2106-3",487,84224,578.2
,"< 1 year","1","2003","2003","Female","F","Black or African American","2054-5",161,15785,1020.0
,"< 1 year","1","2003","2003","Female","F","White","2106-3",304,81311,373.9
,"< 1 year","1","2003","2003","Male","M","Black or African American","2054-5",211,16884,1249.7
,"< 1 year","1","2003","2003","Male","M","White","2106-3",420,84889,494.8
,"< 1 year","1","2004","2004","Female","F","Black or African American","2054-5",157,15559,1009.1
,"< 1 year","1","2004","2004","Female","F","White","2106-3",327,80440,406.5
,"< 1 year","1","2004","2004","Male","M","Black or African American","2054-5",205,16344,1254.3
,"< 1 year","1","2004","2004","Male","M","White","2106-3",403,84576,476.5
