"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"< 1 year","1","1999","1999","Male","M",20,120169,16.6
,"< 1 year","1","2000","2000","Male","M",10,120164,Unreliable
,"< 1 year","1","2002","2002","Female","F",12,128214,Unreliable
,"< 1 year","1","2002","2002","Male","M",13,132288,Unreliable
,"< 1 year","1","2004","2004","Female","F",12,130014,Unreliable
,"< 1 year","1","2004","2004","Male","M",12,134144,Unreliable
,"< 1 year","1","2005","2005","Female","F",16,132412,Unreliable
,"< 1 year","1","2005","2005","Male","M",12,137472,Unreliable
,"< 1 year","1","2006","2006","Female","F",13,134471,Unreliable
,"< 1 year","1","2006","2006","Male","M",16,138693,Unreliable
,"< 1 year","1","2007","2007","Female","F",18,137444,Unreliable
,"< 1 year","1","2007","2007","Male","M",13,142268,Unreliable
,"< 1 year","1","2008","2008","Female","F",13,137099,Unreliable
,"< 1 year","1","2008","2008","Male","M",17,142922,Unreliable
,"< 1 year","1","2009","2009","Female","F",16,131466,Unreliable
,"< 1 year","1","2009","2009","Male","M",15,136026,Unreliable
,"< 1 year","1","2010","2010","Male","M",12,134724,Unreliable
,"< 1 year","1","2011","2011","Female","F",15,133312,Unreliable
,"< 1 year","1","2013","2013","Female","F",11,131507,Unreliable
,"< 1 year","1","2013","2013","Male","M",22,137117,16.0
,"< 1 year","1","2014","2014","Female","F",10,129869,Unreliable
,"< 1 year","1","2014","2014","Male","M",15,134921,Unreliable
,"< 1 year","1","2015","2015","Female","F",13,128749,Unreliable
,"< 1 year","1","2015","2015","Male","M",19,134375,Unreliable
,"< 1 year","1","2016","2016","Female","F",11,126142,Unreliable
,"< 1 year","1","2017","2017","Female","F",13,124305,Unreliable
,"< 1 year","1","2017","2017","Male","M",19,129853,Unreliable
,"1-4 years","1-4","1999","1999","Female","F",21,464160,4.5
,"1-4 years","1-4","1999","1999","Male","M",41,483873,8.5
,"1-4 years","1-4","2000","2000","Female","F",23,467050,4.9
,"1-4 years","1-4","2000","2000","Male","M",25,486419,5.1
,"1-4 years","1-4","2001","2001","Female","F",15,463407,Unreliable
,"1-4 years","1-4","2001","2001","Male","M",23,483945,4.8
,"1-4 years","1-4","2002","2002","Female","F",21,472099,4.4
,"1-4 years","1-4","2002","2002","Male","M",32,494262,6.5
,"1-4 years","1-4","2003","2003","Female","F",11,484282,Unreliable
,"1-4 years","1-4","2003","2003","Male","M",34,505900,6.7
,"1-4 years","1-4","2004","2004","Female","F",24,496803,4.8
,"1-4 years","1-4","2004","2004","Male","M",21,519828,4.0
,"1-4 years","1-4","2005","2005","Female","F",21,505441,4.2
,"1-4 years","1-4","2005","2005","Male","M",38,526588,7.2
,"1-4 years","1-4","2006","2006","Female","F",18,506302,Unreliable
,"1-4 years","1-4","2006","2006","Male","M",23,526742,4.4
,"1-4 years","1-4","2007","2007","Female","F",10,510362,Unreliable
,"1-4 years","1-4","2007","2007","Male","M",26,531768,4.9
,"1-4 years","1-4","2008","2008","Female","F",16,520277,Unreliable
,"1-4 years","1-4","2008","2008","Male","M",25,541486,4.6
,"1-4 years","1-4","2009","2009","Female","F",16,528943,Unreliable
,"1-4 years","1-4","2009","2009","Male","M",31,552420,5.6
,"1-4 years","1-4","2010","2010","Female","F",13,530996,Unreliable
,"1-4 years","1-4","2010","2010","Male","M",33,554338,6.0
,"1-4 years","1-4","2011","2011","Female","F",19,532739,Unreliable
,"1-4 years","1-4","2011","2011","Male","M",32,556361,5.8
,"1-4 years","1-4","2012","2012","Female","F",23,533007,4.3
,"1-4 years","1-4","2012","2012","Male","M",14,555050,Unreliable
,"1-4 years","1-4","2013","2013","Female","F",10,523866,Unreliable
,"1-4 years","1-4","2013","2013","Male","M",27,543934,5.0
,"1-4 years","1-4","2014","2014","Male","M",24,540615,4.4
,"1-4 years","1-4","2015","2015","Female","F",12,516055,Unreliable
,"1-4 years","1-4","2015","2015","Male","M",24,535602,4.5
,"1-4 years","1-4","2016","2016","Male","M",22,524084,4.2
,"1-4 years","1-4","2017","2017","Male","M",16,520197,Unreliable
,"5-9 years","5-9","2000","2000","Male","M",12,632224,Unreliable
,"5-9 years","5-9","2002","2002","Male","M",22,625709,3.5
,"5-9 years","5-9","2005","2005","Male","M",11,602538,Unreliable
,"5-9 years","5-9","2012","2012","Male","M",10,678326,Unreliable
,"10-14 years","10-14","1999","1999","Male","M",14,508081,Unreliable
,"10-14 years","10-14","2003","2003","Male","M",19,629174,Unreliable
,"10-14 years","10-14","2008","2008","Male","M",10,661145,Unreliable
,"10-14 years","10-14","2012","2012","Male","M",10,660478,Unreliable
,"15-19 years","15-19","1999","1999","Male","M",46,507053,9.1
,"15-19 years","15-19","2000","2000","Male","M",40,520598,7.7
,"15-19 years","15-19","2001","2001","Male","M",34,536049,6.3
,"15-19 years","15-19","2002","2002","Female","F",10,494246,Unreliable
,"15-19 years","15-19","2002","2002","Male","M",49,546518,9.0
,"15-19 years","15-19","2003","2003","Male","M",34,560448,6.1
,"15-19 years","15-19","2004","2004","Female","F",10,528893,Unreliable
,"15-19 years","15-19","2004","2004","Male","M",32,578416,5.5
,"15-19 years","15-19","2005","2005","Male","M",56,601491,9.3
,"15-19 years","15-19","2006","2006","Male","M",48,625753,7.7
,"15-19 years","15-19","2007","2007","Female","F",13,604871,Unreliable
,"15-19 years","15-19","2007","2007","Male","M",48,649553,7.4
,"15-19 years","15-19","2008","2008","Female","F",13,627232,Unreliable
,"15-19 years","15-19","2008","2008","Male","M",33,670642,4.9
