"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"< 1 year","1","1999","1999","Male","M","White","2106-3",11,85860,Unreliable
,"< 1 year","1","2002","2002","Male","M","White","2106-3",15,84224,Unreliable
,"< 1 year","1","2004","2004","Male","M","White","2106-3",14,84576,Unreliable
,"< 1 year","1","2005","2005","Female","F","White","2106-3",11,78199,Unreliable
,"< 1 year","1","2005","2005","Male","M","White","2106-3",15,82503,Unreliable
,"< 1 year","1","2006","2006","Male","M","White","2106-3",16,80040,Unreliable
,"< 1 year","1","2007","2007","Female","F","White","2106-3",14,74827,Unreliable
,"< 1 year","1","2007","2007","Male","M","White","2106-3",16,79053,Unreliable
,"< 1 year","1","2008","2008","Male","M","White","2106-3",14,78336,Unreliable
,"< 1 year","1","2009","2009","Male","M","White","2106-3",12,72436,Unreliable
,"< 1 year","1","2010","2010","Female","F","White","2106-3",14,68176,Unreliable
,"< 1 year","1","2012","2012","Male","M","White","2106-3",10,73183,Unreliable
,"< 1 year","1","2014","2014","Male","M","White","2106-3",11,72980,Unreliable
,"< 1 year","1","2015","2015","Male","M","White","2106-3",11,73827,Unreliable
,"< 1 year","1","2016","2016","Male","M","White","2106-3",12,74073,Unreliable
,"< 1 year","1","2017","2017","Male","M","White","2106-3",14,72519,Unreliable
,"1-4 years","1-4","1999","1999","Female","F","White","2106-3",17,346388,Unreliable
,"1-4 years","1-4","1999","1999","Male","M","White","2106-3",37,365309,10.1
,"1-4 years","1-4","2000","2000","Female","F","White","2106-3",18,334627,Unreliable
,"1-4 years","1-4","2000","2000","Male","M","White","2106-3",27,352775,7.7
,"1-4 years","1-4","2001","2001","Female","F","White","2106-3",12,322160,Unreliable
,"1-4 years","1-4","2001","2001","Male","M","Black or African American","2054-5",12,72916,Unreliable
,"1-4 years","1-4","2001","2001","Male","M","White","2106-3",28,339556,8.2
,"1-4 years","1-4","2002","2002","Female","F","White","2106-3",15,317689,Unreliable
,"1-4 years","1-4","2002","2002","Male","M","White","2106-3",27,334942,8.1
,"1-4 years","1-4","2003","2003","Female","F","White","2106-3",14,313442,Unreliable
,"1-4 years","1-4","2003","2003","Male","M","White","2106-3",25,330964,7.6
,"1-4 years","1-4","2004","2004","Female","F","White","2106-3",16,311053,Unreliable
,"1-4 years","1-4","2004","2004","Male","M","White","2106-3",19,327052,Unreliable
,"1-4 years","1-4","2005","2005","Female","F","White","2106-3",14,307852,Unreliable
,"1-4 years","1-4","2005","2005","Male","M","White","2106-3",35,323659,10.8
,"1-4 years","1-4","2006","2006","Female","F","White","2106-3",19,301817,Unreliable
,"1-4 years","1-4","2006","2006","Male","M","White","2106-3",20,317178,6.3
,"1-4 years","1-4","2007","2007","Female","F","White","2106-3",18,297244,Unreliable
,"1-4 years","1-4","2007","2007","Male","M","White","2106-3",23,312254,7.4
,"1-4 years","1-4","2008","2008","Male","M","White","2106-3",19,307555,Unreliable
,"1-4 years","1-4","2009","2009","Female","F","White","2106-3",11,286549,Unreliable
,"1-4 years","1-4","2009","2009","Male","M","White","2106-3",21,301651,7.0
,"1-4 years","1-4","2010","2010","Female","F","White","2106-3",10,280428,Unreliable
,"1-4 years","1-4","2010","2010","Male","M","White","2106-3",23,295603,7.8
,"1-4 years","1-4","2011","2011","Female","F","White","2106-3",11,276392,Unreliable
,"1-4 years","1-4","2011","2011","Male","M","White","2106-3",21,290336,7.2
,"1-4 years","1-4","2012","2012","Male","M","White","2106-3",13,288639,Unreliable
,"1-4 years","1-4","2013","2013","Male","M","White","2106-3",23,288318,8.0
,"1-4 years","1-4","2014","2014","Male","M","Black or African American","2054-5",12,63772,Unreliable
,"1-4 years","1-4","2014","2014","Male","M","White","2106-3",22,290990,7.6
,"1-4 years","1-4","2015","2015","Male","M","White","2106-3",11,292900,Unreliable
,"1-4 years","1-4","2016","2016","Male","M","White","2106-3",16,290891,Unreliable
,"1-4 years","1-4","2017","2017","Female","F","White","2106-3",12,276655,Unreliable
,"1-4 years","1-4","2017","2017","Male","M","White","2106-3",19,291353,Unreliable
,"5-9 years","5-9","2002","2002","Male","M","White","2106-3",11,458404,Unreliable
,"5-9 years","5-9","2006","2006","Male","M","White","2106-3",11,392905,Unreliable
,"10-14 years","10-14","1999","1999","Male","M","White","2106-3",16,513822,Unreliable
,"10-14 years","10-14","2000","2000","Male","M","White","2106-3",20,521652,3.8
,"10-14 years","10-14","2001","2001","Male","M","White","2106-3",10,525356,Unreliable
,"10-14 years","10-14","2002","2002","Male","M","Black or African American","2054-5",11,113069,Unreliable
,"10-14 years","10-14","2003","2003","Male","M","White","2106-3",12,516571,Unreliable
,"10-14 years","10-14","2005","2005","Male","M","White","2106-3",19,483752,Unreliable
,"10-14 years","10-14","2006","2006","Male","M","White","2106-3",10,463142,Unreliable
,"15-19 years","15-19","1999","1999","Female","F","White","2106-3",15,460217,Unreliable
,"15-19 years","15-19","1999","1999","Male","M","White","2106-3",36,489162,7.4
,"15-19 years","15-19","2000","2000","Male","M","White","2106-3",32,494783,6.5
,"15-19 years","15-19","2001","2001","Female","F","White","2106-3",11,464605,Unreliable
,"15-19 years","15-19","2001","2001","Male","M","Black or African American","2054-5",14,96367,Unreliable
,"15-19 years","15-19","2001","2001","Male","M","White","2106-3",38,497684,7.6
,"15-19 years","15-19","2002","2002","Female","F","White","2106-3",17,467002,Unreliable
,"15-19 years","15-19","2002","2002","Male","M","White","2106-3",37,500237,7.4
,"15-19 years","15-19","2003","2003","Female","F","White","2106-3",16,470105,Unreliable
,"15-19 years","15-19","2003","2003","Male","M","Black or African American","2054-5",11,100149,Unreliable
,"15-19 years","15-19","2003","2003","Male","M","White","2106-3",42,500961,8.4
,"15-19 years","15-19","2004","2004","Female","F","White","2106-3",11,473425,Unreliable
,"15-19 years","15-19","2004","2004","Male","M","Black or African American","2054-5",14,103174,Unreliable
,"15-19 years","15-19","2004","2004","Male","M","White","2106-3",44,504795,8.7
,"15-19 years","15-19","2005","2005","Female","F","White","2106-3",17,475448,Unreliable
,"15-19 years","15-19","2005","2005","Male","M","Black or African American","2054-5",12,106619,Unreliable
,"15-19 years","15-19","2005","2005","Male","M","White","2106-3",47,508232,9.2
