"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"15-19 years","15-19","1999","1999","Male","M",27,507053,5.3
,"15-19 years","15-19","2000","2000","Female","F",12,468885,Unreliable
,"15-19 years","15-19","2000","2000","Male","M",33,520598,6.3
,"15-19 years","15-19","2001","2001","Male","M",31,536049,5.8
,"15-19 years","15-19","2002","2002","Male","M",32,546518,5.9
,"15-19 years","15-19","2003","2003","Male","M",42,560448,7.5
,"15-19 years","15-19","2004","2004","Female","F",14,528893,Unreliable
,"15-19 years","15-19","2004","2004","Male","M",34,578416,5.9
,"15-19 years","15-19","2005","2005","Male","M",38,601491,6.3
,"15-19 years","15-19","2006","2006","Female","F",15,579570,Unreliable
,"15-19 years","15-19","2006","2006","Male","M",32,625753,5.1
,"15-19 years","15-19","2007","2007","Female","F",11,604871,Unreliable
,"15-19 years","15-19","2007","2007","Male","M",29,649553,4.5
,"15-19 years","15-19","2008","2008","Male","M",38,670642,5.7
,"15-19 years","15-19","2009","2009","Female","F",11,646788,Unreliable
,"15-19 years","15-19","2009","2009","Male","M",42,688217,6.1
,"15-19 years","15-19","2010","2010","Female","F",14,656442,Unreliable
,"15-19 years","15-19","2010","2010","Male","M",49,696238,7.0
,"15-19 years","15-19","2011","2011","Female","F",19,657413,Unreliable
,"15-19 years","15-19","2011","2011","Male","M",36,696205,5.2
,"15-19 years","15-19","2012","2012","Female","F",11,651121,Unreliable
,"15-19 years","15-19","2012","2012","Male","M",35,685614,5.1
,"15-19 years","15-19","2013","2013","Female","F",17,643712,Unreliable
,"15-19 years","15-19","2013","2013","Male","M",44,674237,6.5
,"15-19 years","15-19","2014","2014","Female","F",13,639802,Unreliable
,"15-19 years","15-19","2014","2014","Male","M",43,664392,6.5
,"15-19 years","15-19","2015","2015","Female","F",17,637112,Unreliable
,"15-19 years","15-19","2015","2015","Male","M",53,660711,8.0
,"15-19 years","15-19","2016","2016","Female","F",19,635775,Unreliable
,"15-19 years","15-19","2016","2016","Male","M",48,657180,7.3
,"15-19 years","15-19","2017","2017","Female","F",22,634931,3.5
,"15-19 years","15-19","2017","2017","Male","M",58,656388,8.8
,"20-24 years","20-24","1999","1999","Male","M",55,529882,10.4
,"20-24 years","20-24","2000","2000","Male","M",53,551509,9.6
,"20-24 years","20-24","2001","2001","Male","M",53,568662,9.3
,"20-24 years","20-24","2002","2002","Male","M",44,582698,7.6
,"20-24 years","20-24","2003","2003","Male","M",69,592385,11.6
,"20-24 years","20-24","2004","2004","Female","F",16,519373,Unreliable
,"20-24 years","20-24","2004","2004","Male","M",83,600408,13.8
,"20-24 years","20-24","2005","2005","Female","F",13,524196,Unreliable
,"20-24 years","20-24","2005","2005","Male","M",73,603262,12.1
,"20-24 years","20-24","2006","2006","Female","F",11,527964,Unreliable
,"20-24 years","20-24","2006","2006","Male","M",77,605268,12.7
,"20-24 years","20-24","2007","2007","Female","F",16,532402,Unreliable
,"20-24 years","20-24","2007","2007","Male","M",60,607338,9.9
,"20-24 years","20-24","2008","2008","Male","M",63,615020,10.2
,"20-24 years","20-24","2009","2009","Female","F",11,558413,Unreliable
,"20-24 years","20-24","2009","2009","Male","M",71,626773,11.3
,"20-24 years","20-24","2010","2010","Female","F",15,575551,Unreliable
,"20-24 years","20-24","2010","2010","Male","M",90,641028,14.0
,"20-24 years","20-24","2011","2011","Female","F",18,605278,Unreliable
,"20-24 years","20-24","2011","2011","Male","M",86,666050,12.9
,"20-24 years","20-24","2012","2012","Female","F",17,625420,Unreliable
,"20-24 years","20-24","2012","2012","Male","M",71,680781,10.4
,"20-24 years","20-24","2013","2013","Female","F",14,639936,Unreliable
,"20-24 years","20-24","2013","2013","Male","M",85,691807,12.3
,"20-24 years","20-24","2014","2014","Female","F",21,656849,3.2
,"20-24 years","20-24","2014","2014","Male","M",78,698054,11.2
,"20-24 years","20-24","2015","2015","Female","F",20,658092,3.0
,"20-24 years","20-24","2015","2015","Male","M",97,695482,13.9
,"20-24 years","20-24","2016","2016","Female","F",13,651723,Unreliable
,"20-24 years","20-24","2016","2016","Male","M",93,686006,13.6
,"20-24 years","20-24","2017","2017","Female","F",19,649075,Unreliable
,"20-24 years","20-24","2017","2017","Male","M",104,678018,15.3
,"25-29 years","25-29","1999","1999","Male","M",46,554152,8.3
,"25-29 years","25-29","2000","2000","Male","M",52,554421,9.4
