"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"10-14 years","10-14","2000","2000","Male","M","White","2106-3",10,521652,Unreliable
,"10-14 years","10-14","2017","2017","Male","M","White","2106-3",11,366654,Unreliable
,"15-19 years","15-19","1999","1999","Female","F","White","2106-3",13,460217,Unreliable
,"15-19 years","15-19","1999","1999","Male","M","White","2106-3",38,489162,7.8
,"15-19 years","15-19","2000","2000","Female","F","White","2106-3",12,466773,Unreliable
,"15-19 years","15-19","2000","2000","Male","M","White","2106-3",45,494783,9.1
,"15-19 years","15-19","2001","2001","Male","M","White","2106-3",54,497684,10.9
,"15-19 years","15-19","2002","2002","Female","F","White","2106-3",14,467002,Unreliable
,"15-19 years","15-19","2002","2002","Male","M","White","2106-3",49,500237,9.8
,"15-19 years","15-19","2003","2003","Female","F","White","2106-3",15,470105,Unreliable
,"15-19 years","15-19","2003","2003","Male","M","White","2106-3",50,500961,10.0
,"15-19 years","15-19","2004","2004","Female","F","White","2106-3",21,473425,4.4
,"15-19 years","15-19","2004","2004","Male","M","Black or African American","2054-5",10,103174,Unreliable
,"15-19 years","15-19","2004","2004","Male","M","White","2106-3",53,504795,10.5
,"15-19 years","15-19","2005","2005","Female","F","White","2106-3",16,475448,Unreliable
,"15-19 years","15-19","2005","2005","Male","M","White","2106-3",53,508232,10.4
,"15-19 years","15-19","2006","2006","Female","F","White","2106-3",15,474367,Unreliable
,"15-19 years","15-19","2006","2006","Male","M","White","2106-3",60,507695,11.8
,"15-19 years","15-19","2007","2007","Male","M","White","2106-3",52,503109,10.3
,"15-19 years","15-19","2008","2008","Female","F","White","2106-3",14,460223,Unreliable
,"15-19 years","15-19","2008","2008","Male","M","White","2106-3",51,493734,10.3
,"15-19 years","15-19","2009","2009","Female","F","White","2106-3",16,447543,Unreliable
,"15-19 years","15-19","2009","2009","Male","M","White","2106-3",54,481070,11.2
,"15-19 years","15-19","2010","2010","Female","F","White","2106-3",15,435743,Unreliable
,"15-19 years","15-19","2010","2010","Male","M","White","2106-3",49,466650,10.5
,"15-19 years","15-19","2011","2011","Female","F","White","2106-3",16,412410,Unreliable
,"15-19 years","15-19","2011","2011","Male","M","White","2106-3",62,444469,13.9
,"15-19 years","15-19","2012","2012","Female","F","White","2106-3",13,403650,Unreliable
,"15-19 years","15-19","2012","2012","Male","M","White","2106-3",46,433209,10.6
,"15-19 years","15-19","2013","2013","Female","F","White","2106-3",18,392948,Unreliable
,"15-19 years","15-19","2013","2013","Male","M","Black or African American","2054-5",10,94980,Unreliable
,"15-19 years","15-19","2013","2013","Male","M","White","2106-3",42,420409,10.0
,"15-19 years","15-19","2014","2014","Female","F","White","2106-3",16,384771,Unreliable
,"15-19 years","15-19","2014","2014","Male","M","White","2106-3",41,410174,10.0
,"15-19 years","15-19","2015","2015","Female","F","White","2106-3",13,377612,Unreliable
,"15-19 years","15-19","2015","2015","Male","M","White","2106-3",59,402461,14.7
