"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"< 1 year","1","2018","2018","Female","F",427,121818,350.5
,"< 1 year","1","2018","2018","Male","M",530,127229,416.6
,"< 1 year","1","2019","2019","Female","F",443,115122,384.8
,"< 1 year","1","2019","2019","Male","M",551,120182,458.5
,"< 1 year","1","2020","2020","Female","F",377,109347,344.8
,"< 1 year","1","2020","2020","Male","M",506,113716,445.0
,"< 1 year","1","2021","2021","Female","F",439,102970,426.3
,"< 1 year","1","2021","2021","Male","M",472,107383,439.5
,"< 1 year","1","2022","2022","Female","F",418,105775,395.2
,"< 1 year","1","2022","2022","Male","M",489,108941,448.9
,"< 1 year","1","2023 ","2023","Female","F",411,104772,392.3
,"< 1 year","1","2023 ","2023","Male","M",493,108046,456.3
,"1-4 years","1-4","2018","2018","Female","F",79,494759,16.0
,"1-4 years","1-4","2018","2018","Male","M",92,515224,17.9
,"1-4 years","1-4","2019","2019","Female","F",60,481327,12.5
,"1-4 years","1-4","2019","2019","Male","M",93,500574,18.6
,"1-4 years","1-4","2020","2020","Female","F",60,458674,13.1
,"1-4 years","1-4","2020","2020","Male","M",91,474152,19.2
,"1-4 years","1-4","2021","2021","Female","F",80,442775,18.1
,"1-4 years","1-4","2021","2021","Male","M",81,458688,17.7
,"1-4 years","1-4","2022","2022","Female","F",84,423586,19.8
,"1-4 years","1-4","2022","2022","Male","M",86,437876,19.6
,"1-4 years","1-4","2023 ","2023","Female","F",54,421832,12.8
,"1-4 years","1-4","2023 ","2023","Male","M",104,435914,23.9
,"5-9 years","5-9","2018","2018","Female","F",49,644296,7.6
,"5-9 years","5-9","2018","2018","Male","M",68,669529,10.2
,"5-9 years","5-9","2019","2019","Female","F",54,637511,8.5
,"5-9 years","5-9","2019","2019","Male","M",61,662250,9.2
,"5-9 years","5-9","2020","2020","Female","F",47,619866,7.6
,"5-9 years","5-9","2020","2020","Male","M",52,643993,8.1
,"5-9 years","5-9","2021","2021","Female","F",40,609348,6.6
,"5-9 years","5-9","2021","2021","Male","M",59,633054,9.3
,"5-9 years","5-9","2022","2022","Female","F",51,588287,8.7
,"5-9 years","5-9","2022","2022","Male","M",73,610301,12.0
,"5-9 years","5-9","2023 ","2023","Female","F",36,580534,6.2
,"5-9 years","5-9","2023 ","2023","Male","M",46,601417,7.6
,"10-14 years","10-14","2018","2018","Female","F",61,656821,9.3
,"10-14 years","10-14","2018","2018","Male","M",63,682235,9.2
,"10-14 years","10-14","2019","2019","Female","F",63,656719,9.6
