"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"< 1 year","1","2018","2018","Female","F","Black or African American","2054-5",75,12024,623.8
,"< 1 year","1","2018","2018","Female","F","White","2106-3",187,60395,309.6
,"< 1 year","1","2018","2018","Male","M","Black or African American","2054-5",114,12464,914.6
,"< 1 year","1","2018","2018","Male","M","White","2106-3",234,63563,368.1
,"< 1 year","1","2019","2019","Female","F","Black or African American","2054-5",102,11860,860.0
,"< 1 year","1","2019","2019","Female","F","White","2106-3",187,60791,307.6
,"< 1 year","1","2019","2019","Male","M","Black or African American","2054-5",110,12307,893.8
,"< 1 year","1","2019","2019","Male","M","White","2106-3",223,63927,348.8
,"< 1 year","1","2020","2020","Female","F","Black or African American","2054-5",107,11614,921.3
,"< 1 year","1","2020","2020","Female","F","White","2106-3",151,56009,269.6
,"< 1 year","1","2020","2020","Male","M","Black or African American","2054-5",116,12016,965.4
,"< 1 year","1","2020","2020","Male","M","White","2106-3",168,58741,286.0
,"< 1 year","1","2021","2021","Female","F","Black or African American","2054-5",78,10670,731.0
,"< 1 year","1","2021","2021","Female","F","White","2106-3",147,52083,282.2
,"< 1 year","1","2021","2021","Male","M","Black or African American","2054-5",102,10980,929.0
,"< 1 year","1","2021","2021","Male","M","White","2106-3",201,54599,368.1
,"< 1 year","1","2022","2022","Female","F","Black or African American","2054-5",75,10859,690.7
,"< 1 year","1","2022","2022","Female","F","White","2106-3",139,51554,269.6
,"< 1 year","1","2022","2022","Male","M","Black or African American","2054-5",116,11183,1037.3
,"< 1 year","1","2022","2022","Male","M","White","2106-3",191,54845,348.3
,"< 1 year","1","2023 ","2023","Female","F","Black or African American","2054-5",76,10493,724.3
,"< 1 year","1","2023 ","2023","Female","F","White","2106-3",133,50253,264.7
,"< 1 year","1","2023 ","2023","Male","M","Black or African American","2054-5",83,10783,769.7
,"< 1 year","1","2023 ","2023","Male","M","White","2106-3",172,52916,325.0
,"1-4 years","1-4","2018","2018","Female","F","Black or African American","2054-5",15,48059,Unreliable
,"1-4 years","1-4","2018","2018","Female","F","White","2106-3",34,246903,13.8
,"1-4 years","1-4","2018","2018","Male","M","Black or African American","2054-5",24,49690,48.3
,"1-4 years","1-4","2018","2018","Male","M","White","2106-3",58,260600,22.3
,"1-4 years","1-4","2019","2019","Female","F","White","2106-3",36,245700,14.7
,"1-4 years","1-4","2019","2019","Male","M","Black or African American","2054-5",19,48148,Unreliable
,"1-4 years","1-4","2019","2019","Male","M","White","2106-3",43,259436,16.6
,"1-4 years","1-4","2020","2020","Female","F","Black or African American","2054-5",15,44374,Unreliable
,"1-4 years","1-4","2020","2020","Female","F","White","2106-3",39,224665,17.4
,"1-4 years","1-4","2020","2020","Male","M","Black or African American","2054-5",21,45663,46.0
,"1-4 years","1-4","2020","2020","Male","M","White","2106-3",48,237047,20.2
,"1-4 years","1-4","2021","2021","Female","F","White","2106-3",35,214491,16.3
,"1-4 years","1-4","2021","2021","Male","M","Black or African American","2054-5",13,45015,Unreliable
,"1-4 years","1-4","2021","2021","Male","M","White","2106-3",41,226225,18.1
,"1-4 years","1-4","2022","2022","Female","F","Black or African American","2054-5",17,42423,Unreliable
,"1-4 years","1-4","2022","2022","Female","F","White","2106-3",36,200771,17.9
