"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"15-19 years","15-19","2018","2018","Male","M","Black or African American","2054-5",25,70875,35.3
,"15-19 years","15-19","2018","2018","Male","M","White","2106-3",15,353475,Unreliable
,"15-19 years","15-19","2019","2019","Female","F","Black or African American","2054-5",12,65164,Unreliable
,"15-19 years","15-19","2019","2019","Male","M","Black or African American","2054-5",37,69104,53.5
,"15-19 years","15-19","2020","2020","Male","M","Black or African American","2054-5",53,66920,79.2
,"15-19 years","15-19","2020","2020","Male","M","White","2106-3",14,340126,Unreliable
,"15-19 years","15-19","2021","2021","Male","M","Black or African American","2054-5",46,67534,68.1
,"15-19 years","15-19","2022","2022","Male","M","Black or African American","2054-5",45,65586,68.6
,"15-19 years","15-19","2022","2022","Male","M","White","2106-3",10,334897,Unreliable
,"15-19 years","15-19","2023 ","2023","Male","M","Black or African American","2054-5",34,66353,51.2
,"15-19 years","15-19","2023 ","2023","Male","M","White","2106-3",21,333149,6.3
,"20-24 years","20-24","2018","2018","Female","F","Black or African American","2054-5",10,76115,Unreliable
,"20-24 years","20-24","2018","2018","Female","F","White","2106-3",10,368061,Unreliable
,"20-24 years","20-24","2018","2018","Male","M","Black or African American","2054-5",62,85191,72.8
,"20-24 years","20-24","2018","2018","Male","M","White","2106-3",18,407641,Unreliable
,"20-24 years","20-24","2019","2019","Male","M","Black or African American","2054-5",59,81875,72.1
,"20-24 years","20-24","2019","2019","Male","M","White","2106-3",16,392288,Unreliable
,"20-24 years","20-24","2020","2020","Female","F","Black or African American","2054-5",13,71228,Unreliable
,"20-24 years","20-24","2020","2020","Male","M","Black or African American","2054-5",74,79239,93.4
,"20-24 years","20-24","2020","2020","Male","M","White","2106-3",31,379665,8.2
,"20-24 years","20-24","2021","2021","Female","F","Black or African American","2054-5",10,68925,Unreliable
,"20-24 years","20-24","2021","2021","Male","M","Black or African American","2054-5",100,76488,130.7
,"20-24 years","20-24","2021","2021","Male","M","White","2106-3",25,362140,6.9
,"20-24 years","20-24","2022","2022","Female","F","Black or African American","2054-5",11,70164,Unreliable
,"20-24 years","20-24","2022","2022","Male","M","Black or African American","2054-5",72,77209,93.3
,"20-24 years","20-24","2022","2022","Male","M","White","2106-3",20,372447,5.4
,"20-24 years","20-24","2023 ","2023","Male","M","Black or African American","2054-5",52,71851,72.4
,"20-24 years","20-24","2023 ","2023","Male","M","White","2106-3",17,351929,Unreliable
,"25-29 years","25-29","2018","2018","Female","F","Black or African American","2054-5",11,93554,Unreliable
,"25-29 years","25-29","2018","2018","Male","M","Black or African American","2054-5",65,104888,62.0
,"25-29 years","25-29","2018","2018","Male","M","White","2106-3",37,518092,7.1
,"25-29 years","25-29","2019","2019","Male","M","Black or African American","2054-5",71,105178,67.5
,"25-29 years","25-29","2019","2019","Male","M","White","2106-3",19,500960,Unreliable
,"25-29 years","25-29","2020","2020","Female","F","Black or African American","2054-5",13,89394,Unreliable
,"25-29 years","25-29","2020","2020","Male","M","Black or African American","2054-5",108,103066,104.8
,"25-29 years","25-29","2020","2020","Male","M","White","2106-3",30,475292,6.3
,"25-29 years","25-29","2021","2021","Female","F","Black or African American","2054-5",10,83591,Unreliable
,"25-29 years","25-29","2021","2021","Male","M","Black or African American","2054-5",103,95000,108.4
,"25-29 years","25-29","2021","2021","Male","M","White","2106-3",19,429734,Unreliable
,"25-29 years","25-29","2022","2022","Female","F","Black or African American","2054-5",12,79299,Unreliable
,"25-29 years","25-29","2022","2022","Male","M","Black or African American","2054-5",89,90164,98.7
,"25-29 years","25-29","2022","2022","Male","M","White","2106-3",22,409406,5.4
,"25-29 years","25-29","2023 ","2023","Male","M","Black or African American","2054-5",56,85848,65.2
,"25-29 years","25-29","2023 ","2023","Male","M","White","2106-3",26,388327,6.7
,"30-34 years","30-34","2018","2018","Male","M","Black or African American","2054-5",51,88321,57.7
,"30-34 years","30-34","2018","2018","Male","M","White","2106-3",36,514820,7.0
,"30-34 years","30-34","2019","2019","Male","M","Black or African American","2054-5",62,93328,66.4
,"30-34 years","30-34","2019","2019","Male","M","White","2106-3",23,516620,4.5
,"30-34 years","30-34","2020","2020","Female","F","White","2106-3",10,476339,Unreliable
,"30-34 years","30-34","2020","2020","Male","M","Black or African American","2054-5",78,98085,79.5
,"30-34 years","30-34","2020","2020","Male","M","White","2106-3",38,518781,7.3
,"30-34 years","30-34","2021","2021","Female","F","Black or African American","2054-5",10,88876,Unreliable
,"30-34 years","30-34","2021","2021","Male","M","Black or African American","2054-5",92,100699,91.4
,"30-34 years","30-34","2021","2021","Male","M","White","2106-3",36,502165,7.2
,"30-34 years","30-34","2022","2022","Male","M","Black or African American","2054-5",93,101692,91.5
,"30-34 years","30-34","2022","2022","Male","M","White","2106-3",37,487025,7.6
,"30-34 years","30-34","2023 ","2023","Female","F","Black or African American","2054-5",11,90222,Unreliable
,"30-34 years","30-34","2023 ","2023","Male","M","Black or African American","2054-5",69,101673,67.9
,"30-34 years","30-34","2023 ","2023","Male","M","White","2106-3",22,468693,4.7
,"35-39 years","35-39","2018","2018","Male","M","Black or African American","2054-5",39,77662,50.2
,"35-39 years","35-39","2018","2018","Male","M","White","2106-3",25,485131,5.2
,"35-39 years","35-39","2019","2019","Male","M","Black or African American","2054-5",49,79200,61.9
,"35-39 years","35-39","2019","2019","Male","M","White","2106-3",27,489050,5.5
,"35-39 years","35-39","2020","2020","Male","M","Black or African American","2054-5",73,80210,91.0
,"35-39 years","35-39","2020","2020","Male","M","White","2106-3",35,488208,7.2
,"35-39 years","35-39","2021","2021","Female","F","White","2106-3",11,445647,Unreliable
,"35-39 years","35-39","2021","2021","Male","M","Black or African American","2054-5",70,83313,84.0
,"35-39 years","35-39","2021","2021","Male","M","White","2106-3",39,491165,7.9
,"35-39 years","35-39","2022","2022","Male","M","Black or African American","2054-5",72,83777,85.9
,"35-39 years","35-39","2022","2022","Male","M","White","2106-3",24,481734,5.0
,"35-39 years","35-39","2023 ","2023","Male","M","Black or African American","2054-5",52,86069,60.4
,"35-39 years","35-39","2023 ","2023","Male","M","White","2106-3",24,475395,5.0
,"40-44 years","40-44","2018","2018","Male","M","Black or African American","2054-5",32,68201,46.9
,"40-44 years","40-44","2018","2018","Male","M","White","2106-3",27,426328,6.3
,"40-44 years","40-44","2019","2019","Male","M","Black or African American","2054-5",37,69485,53.2
,"40-44 years","40-44","2019","2019","Male","M","White","2106-3",27,429067,6.3
,"40-44 years","40-44","2020","2020","Male","M","Black or African American","2054-5",59,71452,82.6
,"40-44 years","40-44","2020","2020","Male","M","White","2106-3",34,433931,7.8
,"40-44 years","40-44","2021","2021","Female","F","White","2106-3",12,409177,Unreliable
,"40-44 years","40-44","2021","2021","Male","M","Black or African American","2054-5",45,74723,60.2
,"40-44 years","40-44","2021","2021","Male","M","White","2106-3",40,448488,8.9
,"40-44 years","40-44","2022","2022","Male","M","Black or African American","2054-5",52,75169,69.2
,"40-44 years","40-44","2022","2022","Male","M","White","2106-3",23,450986,5.1
,"40-44 years","40-44","2023 ","2023","Male","M","Black or African American","2054-5",47,76542,61.4
,"40-44 years","40-44","2023 ","2023","Male","M","White","2106-3",27,454426,5.9
,"45-49 years","45-49","2018","2018","Female","F","White","2106-3",12,453183,Unreliable
,"45-49 years","45-49","2018","2018","Male","M","Black or African American","2054-5",20,73019,27.4
,"45-49 years","45-49","2018","2018","Male","M","White","2106-3",26,476424,5.5
,"45-49 years","45-49","2019","2019","Female","F","White","2106-3",12,429578,Unreliable
,"45-49 years","45-49","2019","2019","Male","M","Black or African American","2054-5",29,70689,41.0
,"45-49 years","45-49","2019","2019","Male","M","White","2106-3",13,454600,Unreliable
,"45-49 years","45-49","2020","2020","Male","M","Black or African American","2054-5",28,68277,41.0
,"45-49 years","45-49","2020","2020","Male","M","White","2106-3",22,430735,5.1
,"45-49 years","45-49","2021","2021","Male","M","Black or African American","2054-5",29,67842,42.7
,"45-49 years","45-49","2021","2021","Male","M","White","2106-3",22,416374,5.3
,"45-49 years","45-49","2022","2022","Male","M","Black or African American","2054-5",43,67159,64.0
,"45-49 years","45-49","2022","2022","Male","M","White","2106-3",21,406626,5.2
,"45-49 years","45-49","2023 ","2023","Male","M","Black or African American","2054-5",18,67305,Unreliable
,"45-49 years","45-49","2023 ","2023","Male","M","White","2106-3",16,402954,Unreliable
,"50-54 years","50-54","2018","2018","Male","M","Black or African American","2054-5",23,76724,30.0
,"50-54 years","50-54","2018","2018","Male","M","White","2106-3",23,515351,4.5
,"50-54 years","50-54","2019","2019","Male","M","Black or African American","2054-5",14,74455,Unreliable
,"50-54 years","50-54","2019","2019","Male","M","White","2106-3",14,494222,Unreliable
,"50-54 years","50-54","2020","2020","Male","M","Black or African American","2054-5",34,73367,46.3
,"50-54 years","50-54","2020","2020","Male","M","White","2106-3",28,483552,5.8
,"50-54 years","50-54","2021","2021","Male","M","Black or African American","2054-5",31,74148,41.8
,"50-54 years","50-54","2021","2021","Male","M","White","2106-3",22,486525,4.5
,"50-54 years","50-54","2022","2022","Male","M","Black or African American","2054-5",27,72839,37.1
,"50-54 years","50-54","2022","2022","Male","M","White","2106-3",25,470338,5.3
,"50-54 years","50-54","2023 ","2023","Male","M","Black or African American","2054-5",27,70909,38.1
,"50-54 years","50-54","2023 ","2023","Male","M","White","2106-3",18,449933,Unreliable
,"55-59 years","55-59","2018","2018","Female","F","White","2106-3",13,583536,Unreliable
,"55-59 years","55-59","2018","2018","Male","M","Black or African American","2054-5",21,78690,26.7
,"55-59 years","55-59","2018","2018","Male","M","White","2106-3",26,588269,4.4
,"55-59 years","55-59","2019","2019","Female","F","White","2106-3",11,567358,Unreliable
,"55-59 years","55-59","2019","2019","Male","M","Black or African American","2054-5",22,78215,28.1
,"55-59 years","55-59","2019","2019","Male","M","White","2106-3",26,572604,4.5
,"55-59 years","55-59","2020","2020","Female","F","White","2106-3",12,543352,Unreliable
,"55-59 years","55-59","2020","2020","Male","M","Black or African American","2054-5",29,76487,37.9
,"55-59 years","55-59","2020","2020","Male","M","White","2106-3",28,548968,5.1
,"55-59 years","55-59","2021","2021","Male","M","Black or African American","2054-5",28,76321,36.7
,"55-59 years","55-59","2021","2021","Male","M","White","2106-3",23,531753,4.3
,"55-59 years","55-59","2022","2022","Female","F","White","2106-3",12,478237,Unreliable
,"55-59 years","55-59","2022","2022","Male","M","Black or African American","2054-5",22,73770,29.8
,"55-59 years","55-59","2022","2022","Male","M","White","2106-3",20,501634,4.0
,"55-59 years","55-59","2023 ","2023","Male","M","Black or African American","2054-5",23,72044,31.9
,"55-59 years","55-59","2023 ","2023","Male","M","White","2106-3",18,477648,Unreliable
,"60-64 years ","60-64","2018","2018","Female","F","White","2106-3",12,576401,Unreliable
,"60-64 years ","60-64","2018","2018","Male","M","White","2106-3",21,562307,3.7
