"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"1-4 years","1-4","2022","2022","Female","F",11,423586,Unreliable
,"5-9 years","5-9","2021","2021","Female","F",12,609348,Unreliable
,"5-9 years","5-9","2022","2022","Male","M",11,610301,Unreliable
,"10-14 years","10-14","2019","2019","Male","M",14,682781,Unreliable
,"10-14 years","10-14","2020","2020","Female","F",13,654376,Unreliable
,"10-14 years","10-14","2020","2020","Male","M",20,680113,2.9
,"10-14 years","10-14","2021","2021","Female","F",13,671894,Unreliable
,"10-14 years","10-14","2021","2021","Male","M",10,703619,Unreliable
,"10-14 years","10-14","2022","2022","Female","F",12,644391,Unreliable
,"10-14 years","10-14","2022","2022","Male","M",13,674566,Unreliable
,"10-14 years","10-14","2023 ","2023","Male","M",14,658565,Unreliable
,"15-19 years","15-19","2018","2018","Female","F",34,632857,5.4
,"15-19 years","15-19","2018","2018","Male","M",84,654000,12.8
,"15-19 years","15-19","2019","2019","Female","F",25,633329,3.9
,"15-19 years","15-19","2019","2019","Male","M",69,652942,10.6
,"15-19 years","15-19","2020","2020","Female","F",36,632768,5.7
,"15-19 years","15-19","2020","2020","Male","M",82,652535,12.6
,"15-19 years","15-19","2021","2021","Female","F",50,653636,7.6
,"15-19 years","15-19","2021","2021","Male","M",98,677551,14.5
,"15-19 years","15-19","2022","2022","Female","F",40,654294,6.1
,"15-19 years","15-19","2022","2022","Male","M",94,681724,13.8
,"15-19 years","15-19","2023 ","2023","Female","F",43,669078,6.4
,"15-19 years","15-19","2023 ","2023","Male","M",110,697539,15.8
,"20-24 years","20-24","2018","2018","Female","F",51,640699,8.0
,"20-24 years","20-24","2018","2018","Male","M",181,662759,27.3
,"20-24 years","20-24","2019","2019","Female","F",52,632239,8.2
,"20-24 years","20-24","2019","2019","Male","M",145,650853,22.3
,"20-24 years","20-24","2020","2020","Female","F",54,627055,8.6
,"20-24 years","20-24","2020","2020","Male","M",180,646731,27.8
,"20-24 years","20-24","2021","2021","Female","F",71,622909,11.4
,"20-24 years","20-24","2021","2021","Male","M",206,640615,32.2
,"20-24 years","20-24","2022","2022","Female","F",60,652909,9.2
,"20-24 years","20-24","2022","2022","Male","M",209,675311,30.9
,"20-24 years","20-24","2023 ","2023","Female","F",69,621251,11.1
,"20-24 years","20-24","2023 ","2023","Male","M",196,639605,30.6
,"25-29 years","25-29","2018","2018","Female","F",40,644367,6.2
,"25-29 years","25-29","2018","2018","Male","M",155,692367,22.4
,"25-29 years","25-29","2019","2019","Female","F",31,652649,4.7
,"25-29 years","25-29","2019","2019","Male","M",148,696035,21.3
,"25-29 years","25-29","2020","2020","Female","F",59,651742,9.1
,"25-29 years","25-29","2020","2020","Male","M",170,688076,24.7
,"25-29 years","25-29","2021","2021","Female","F",64,637189,10.0
,"25-29 years","25-29","2021","2021","Male","M",177,658177,26.9
,"25-29 years","25-29","2022","2022","Female","F",57,622816,9.2
,"25-29 years","25-29","2022","2022","Male","M",202,649228,31.1
,"25-29 years","25-29","2023 ","2023","Female","F",54,619764,8.7
,"25-29 years","25-29","2023 ","2023","Male","M",202,633105,31.9
,"30-34 years","30-34","2018","2018","Female","F",26,563058,4.6
,"30-34 years","30-34","2018","2018","Male","M",101,618191,16.3
,"30-34 years","30-34","2019","2019","Female","F",24,567809,4.2
,"30-34 years","30-34","2019","2019","Male","M",87,623267,14.0
,"30-34 years","30-34","2020","2020","Female","F",24,579882,4.1
,"30-34 years","30-34","2020","2020","Male","M",137,633634,21.6
,"30-34 years","30-34","2021","2021","Female","F",38,593866,6.4
,"30-34 years","30-34","2021","2021","Male","M",144,639889,22.5
,"30-34 years","30-34","2022","2022","Female","F",44,599257,7.3
,"30-34 years","30-34","2022","2022","Male","M",142,645193,22.0
,"30-34 years","30-34","2023 ","2023","Female","F",33,613976,5.4
,"30-34 years","30-34","2023 ","2023","Male","M",132,647103,20.4
,"35-39 years","35-39","2018","2018","Female","F",23,547520,4.2
,"35-39 years","35-39","2018","2018","Male","M",77,581641,13.2
,"35-39 years","35-39","2019","2019","Female","F",16,547537,Unreliable
,"35-39 years","35-39","2019","2019","Male","M",63,584613,10.8
,"35-39 years","35-39","2020","2020","Female","F",19,543192,Unreliable
,"35-39 years","35-39","2020","2020","Male","M",100,581493,17.2
,"35-39 years","35-39","2021","2021","Female","F",32,546700,5.9
,"35-39 years","35-39","2021","2021","Male","M",117,597970,19.6
,"35-39 years","35-39","2022","2022","Female","F",29,537025,5.4
,"35-39 years","35-39","2022","2022","Male","M",108,592395,18.2
,"35-39 years","35-39","2023 ","2023","Female","F",26,542452,4.8
,"35-39 years","35-39","2023 ","2023","Male","M",110,590376,18.6
,"40-44 years","40-44","2018","2018","Female","F",16,516079,Unreliable
,"40-44 years","40-44","2018","2018","Male","M",52,525165,9.9
,"40-44 years","40-44","2019","2019","Female","F",16,511598,Unreliable
,"40-44 years","40-44","2019","2019","Male","M",76,524300,14.5
,"40-44 years","40-44","2020","2020","Female","F",14,511822,Unreliable
,"40-44 years","40-44","2020","2020","Male","M",71,530990,13.4
,"40-44 years","40-44","2021","2021","Female","F",23,520609,4.4
,"40-44 years","40-44","2021","2021","Male","M",88,551409,16.0
,"40-44 years","40-44","2022","2022","Female","F",14,518027,Unreliable
,"40-44 years","40-44","2022","2022","Male","M",89,555938,16.0
,"40-44 years","40-44","2023 ","2023","Female","F",19,525188,Unreliable
,"40-44 years","40-44","2023 ","2023","Male","M",75,558627,13.4
,"45-49 years","45-49","2018","2018","Female","F",18,494329,Unreliable
,"45-49 years","45-49","2018","2018","Male","M",52,498377,10.4
,"45-49 years","45-49","2019","2019","Female","F",23,493191,4.7
,"45-49 years","45-49","2019","2019","Male","M",40,494664,8.1
,"45-49 years","45-49","2020","2020","Female","F",15,491041,Unreliable
,"45-49 years","45-49","2020","2020","Male","M",65,489706,13.3
,"45-49 years","45-49","2021","2021","Female","F",27,493009,5.5
,"45-49 years","45-49","2021","2021","Male","M",62,502200,12.3
,"45-49 years","45-49","2022","2022","Female","F",22,487419,4.5
,"45-49 years","45-49","2022","2022","Male","M",57,503199,11.3
,"45-49 years","45-49","2023 ","2023","Female","F",24,490316,4.9
,"45-49 years","45-49","2023 ","2023","Male","M",58,501588,11.6
,"50-54 years","50-54","2018","2018","Female","F",10,435943,Unreliable
,"50-54 years","50-54","2018","2018","Male","M",51,445752,11.4
,"50-54 years","50-54","2019","2019","Female","F",21,438347,4.8
,"50-54 years","50-54","2019","2019","Male","M",47,449680,10.5
,"50-54 years","50-54","2020","2020","Female","F",16,444391,Unreliable
,"50-54 years","50-54","2020","2020","Male","M",38,455565,8.3
,"50-54 years","50-54","2021","2021","Female","F",21,456603,4.6
,"50-54 years","50-54","2021","2021","Male","M",83,476484,17.4
,"50-54 years","50-54","2022","2022","Female","F",23,457531,5.0
,"50-54 years","50-54","2022","2022","Male","M",64,478487,13.4
,"50-54 years","50-54","2023 ","2023","Female","F",24,465500,5.2
,"50-54 years","50-54","2023 ","2023","Male","M",68,474146,14.3
,"55-59 years","55-59","2018","2018","Female","F",25,376352,6.6
,"55-59 years","55-59","2018","2018","Male","M",42,366539,11.5
,"55-59 years","55-59","2019","2019","Female","F",17,384705,Unreliable
,"55-59 years","55-59","2019","2019","Male","M",37,376619,9.8
,"55-59 years","55-59","2020","2020","Female","F",20,389668,5.1
,"55-59 years","55-59","2020","2020","Male","M",43,383763,11.2
,"55-59 years","55-59","2021","2021","Female","F",17,400028,Unreliable
,"55-59 years","55-59","2021","2021","Male","M",48,407263,11.8
,"55-59 years","55-59","2022","2022","Female","F",15,400216,Unreliable
,"55-59 years","55-59","2022","2022","Male","M",57,412277,13.8
,"55-59 years","55-59","2023 ","2023","Female","F",23,409678,5.6
,"55-59 years","55-59","2023 ","2023","Male","M",55,420858,13.1
,"60-64 years ","60-64","2018","2018","Female","F",12,303263,Unreliable
,"60-64 years ","60-64","2018","2018","Male","M",20,278571,7.2
,"60-64 years ","60-64","2019","2019","Female","F",16,311823,Unreliable
,"60-64 years ","60-64","2019","2019","Male","M",29,289491,10.0
,"60-64 years ","60-64","2020","2020","Female","F",10,321694,Unreliable
,"60-64 years ","60-64","2020","2020","Male","M",42,301700,13.9
,"60-64 years ","60-64","2021","2021","Female","F",11,331167,Unreliable
,"60-64 years ","60-64","2021","2021","Male","M",46,321068,14.3
,"60-64 years ","60-64","2022","2022","Female","F",18,336524,Unreliable
,"60-64 years ","60-64","2022","2022","Male","M",33,328304,10.1
,"60-64 years ","60-64","2023 ","2023","Female","F",12,349225,Unreliable
,"60-64 years ","60-64","2023 ","2023","Male","M",37,339723,10.9
,"65-69 years","65-69","2018","2018","Male","M",30,192036,15.6
,"65-69 years","65-69","2019","2019","Female","F",10,231982,Unreliable
,"65-69 years","65-69","2019","2019","Male","M",18,201439,Unreliable
,"65-69 years","65-69","2020","2020","Female","F",11,242441,Unreliable
,"65-69 years","65-69","2020","2020","Male","M",27,212589,12.7
,"65-69 years","65-69","2021","2021","Male","M",27,229428,11.8
,"65-69 years","65-69","2022","2022","Female","F",15,261680,Unreliable
,"65-69 years","65-69","2022","2022","Male","M",21,237510,8.8
,"65-69 years","65-69","2023 ","2023","Female","F",18,274813,Unreliable
,"65-69 years","65-69","2023 ","2023","Male","M",39,250182,15.6
,"70-74 years","70-74","2018","2018","Male","M",16,127658,Unreliable
,"70-74 years","70-74","2019","2019","Male","M",14,135824,Unreliable
,"70-74 years","70-74","2020","2020","Male","M",18,143956,Unreliable
,"70-74 years","70-74","2021","2021","Male","M",10,154013,Unreliable
,"70-74 years","70-74","2022","2022","Female","F",14,188066,Unreliable
,"70-74 years","70-74","2022","2022","Male","M",22,157772,13.9
,"70-74 years","70-74","2023 ","2023","Female","F",19,198644,Unreliable
,"70-74 years","70-74","2023 ","2023","Male","M",13,166984,Unreliable
,"75-79 years","75-79","2018","2018","Male","M",11,79604,Unreliable
