"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"15-19 years","15-19","2018","2018","Female","F","White","2106-3",15,332554,Unreliable
,"15-19 years","15-19","2018","2018","Male","M","White","2106-3",28,353475,7.9
,"15-19 years","15-19","2019","2019","Female","F","White","2106-3",15,327069,Unreliable
,"15-19 years","15-19","2019","2019","Male","M","Black or African American","2054-5",10,69104,Unreliable
,"15-19 years","15-19","2019","2019","Male","M","White","2106-3",22,347755,6.3
,"15-19 years","15-19","2020","2020","Female","F","Black or African American","2054-5",10,62884,Unreliable
,"15-19 years","15-19","2020","2020","Female","F","White","2106-3",19,320038,Unreliable
,"15-19 years","15-19","2020","2020","Male","M","Black or African American","2054-5",18,66920,Unreliable
,"15-19 years","15-19","2020","2020","Male","M","White","2106-3",45,340126,13.2
,"15-19 years","15-19","2021","2021","Female","F","White","2106-3",23,320619,7.2
,"15-19 years","15-19","2021","2021","Male","M","Black or African American","2054-5",16,67534,Unreliable
,"15-19 years","15-19","2021","2021","Male","M","White","2106-3",40,341725,11.7
,"15-19 years","15-19","2022","2022","Female","F","White","2106-3",19,312621,Unreliable
,"15-19 years","15-19","2022","2022","Male","M","Black or African American","2054-5",13,65586,Unreliable
,"15-19 years","15-19","2022","2022","Male","M","White","2106-3",40,334897,11.9
,"15-19 years","15-19","2023 ","2023","Female","F","White","2106-3",14,312728,Unreliable
,"15-19 years","15-19","2023 ","2023","Male","M","Black or African American","2054-5",14,66353,Unreliable
,"15-19 years","15-19","2023 ","2023","Male","M","White","2106-3",34,333149,10.2
,"20-24 years","20-24","2018","2018","Female","F","White","2106-3",33,368061,9.0
,"20-24 years","20-24","2018","2018","Male","M","Black or African American","2054-5",36,85191,42.3
,"20-24 years","20-24","2018","2018","Male","M","White","2106-3",65,407641,15.9
,"20-24 years","20-24","2019","2019","Female","F","Black or African American","2054-5",13,73399,Unreliable
,"20-24 years","20-24","2019","2019","Female","F","White","2106-3",24,356232,6.7
,"20-24 years","20-24","2019","2019","Male","M","Black or African American","2054-5",17,81875,Unreliable
,"20-24 years","20-24","2019","2019","Male","M","White","2106-3",73,392288,18.6
,"20-24 years","20-24","2020","2020","Female","F","Black or African American","2054-5",15,71228,Unreliable
,"20-24 years","20-24","2020","2020","Female","F","White","2106-3",23,344751,6.7
,"20-24 years","20-24","2020","2020","Male","M","Black or African American","2054-5",38,79239,48.0
,"20-24 years","20-24","2020","2020","Male","M","White","2106-3",68,379665,17.9
,"20-24 years","20-24","2021","2021","Female","F","Black or African American","2054-5",12,68925,Unreliable
,"20-24 years","20-24","2021","2021","Female","F","White","2106-3",22,330416,6.7
,"20-24 years","20-24","2021","2021","Male","M","Black or African American","2054-5",35,76488,45.8
,"20-24 years","20-24","2021","2021","Male","M","White","2106-3",73,362140,20.2
,"20-24 years","20-24","2022","2022","Female","F","White","2106-3",26,337528,7.7
,"20-24 years","20-24","2022","2022","Male","M","Black or African American","2054-5",22,77209,28.5
,"20-24 years","20-24","2022","2022","Male","M","White","2106-3",78,372447,20.9
,"20-24 years","20-24","2023 ","2023","Female","F","White","2106-3",26,319974,8.1
,"20-24 years","20-24","2023 ","2023","Male","M","Black or African American","2054-5",24,71851,33.4
,"20-24 years","20-24","2023 ","2023","Male","M","White","2106-3",72,351929,20.5
,"25-29 years","25-29","2018","2018","Female","F","White","2106-3",20,474286,4.2
,"25-29 years","25-29","2018","2018","Male","M","Black or African American","2054-5",25,104888,23.8
,"25-29 years","25-29","2018","2018","Male","M","White","2106-3",85,518092,16.4
,"25-29 years","25-29","2019","2019","Female","F","White","2106-3",24,456979,5.3
,"25-29 years","25-29","2019","2019","Male","M","Black or African American","2054-5",33,105178,31.4
,"25-29 years","25-29","2019","2019","Male","M","White","2106-3",82,500960,16.4
,"25-29 years","25-29","2020","2020","Female","F","Black or African American","2054-5",16,89394,Unreliable
,"25-29 years","25-29","2020","2020","Female","F","White","2106-3",24,431708,5.6
,"25-29 years","25-29","2020","2020","Male","M","Black or African American","2054-5",44,103066,42.7
,"25-29 years","25-29","2020","2020","Male","M","White","2106-3",82,475292,17.3
,"25-29 years","25-29","2021","2021","Female","F","Black or African American","2054-5",13,83591,Unreliable
,"25-29 years","25-29","2021","2021","Female","F","White","2106-3",35,396428,8.8
,"25-29 years","25-29","2021","2021","Male","M","Black or African American","2054-5",38,95000,40.0
,"25-29 years","25-29","2021","2021","Male","M","White","2106-3",82,429734,19.1
,"25-29 years","25-29","2022","2022","Female","F","Black or African American","2054-5",13,79299,Unreliable
,"25-29 years","25-29","2022","2022","Female","F","White","2106-3",19,375246,Unreliable
,"25-29 years","25-29","2022","2022","Male","M","Black or African American","2054-5",22,90164,24.4
,"25-29 years","25-29","2022","2022","Male","M","White","2106-3",73,409406,17.8
,"25-29 years","25-29","2023 ","2023","Female","F","White","2106-3",18,363582,Unreliable
,"25-29 years","25-29","2023 ","2023","Male","M","Black or African American","2054-5",24,85848,28.0
,"25-29 years","25-29","2023 ","2023","Male","M","White","2106-3",60,388327,15.5
,"30-34 years","30-34","2018","2018","Female","F","White","2106-3",20,472481,4.2
,"30-34 years","30-34","2018","2018","Male","M","Black or African American","2054-5",18,88321,Unreliable
,"30-34 years","30-34","2018","2018","Male","M","White","2106-3",73,514820,14.2
,"30-34 years","30-34","2019","2019","Female","F","White","2106-3",21,474707,4.4
,"30-34 years","30-34","2019","2019","Male","M","Black or African American","2054-5",20,93328,21.4
,"30-34 years","30-34","2019","2019","Male","M","White","2106-3",60,516620,11.6
,"30-34 years","30-34","2020","2020","Female","F","White","2106-3",27,476339,5.7
,"30-34 years","30-34","2020","2020","Male","M","Black or African American","2054-5",25,98085,25.5
,"30-34 years","30-34","2020","2020","Male","M","White","2106-3",103,518781,19.9
,"30-34 years","30-34","2021","2021","Female","F","Black or African American","2054-5",11,88876,Unreliable
,"30-34 years","30-34","2021","2021","Female","F","White","2106-3",24,464109,5.2
,"30-34 years","30-34","2021","2021","Male","M","Black or African American","2054-5",38,100699,37.7
,"30-34 years","30-34","2021","2021","Male","M","White","2106-3",95,502165,18.9
,"30-34 years","30-34","2022","2022","Female","F","Black or African American","2054-5",12,89199,Unreliable
,"30-34 years","30-34","2022","2022","Female","F","White","2106-3",27,445221,6.1
,"30-34 years","30-34","2022","2022","Male","M","Black or African American","2054-5",28,101692,27.5
,"30-34 years","30-34","2022","2022","Male","M","White","2106-3",104,487025,21.4
,"30-34 years","30-34","2023 ","2023","Female","F","White","2106-3",17,433728,Unreliable
,"30-34 years","30-34","2023 ","2023","Male","M","Black or African American","2054-5",22,101673,21.6
,"30-34 years","30-34","2023 ","2023","Male","M","White","2106-3",64,468693,13.7
,"35-39 years","35-39","2018","2018","Female","F","White","2106-3",21,446983,4.7
,"35-39 years","35-39","2018","2018","Male","M","Black or African American","2054-5",18,77662,Unreliable
,"35-39 years","35-39","2018","2018","Male","M","White","2106-3",62,485131,12.8
,"35-39 years","35-39","2019","2019","Female","F","White","2106-3",29,449820,6.4
,"35-39 years","35-39","2019","2019","Male","M","Black or African American","2054-5",11,79200,Unreliable
,"35-39 years","35-39","2019","2019","Male","M","White","2106-3",64,489050,13.1
,"35-39 years","35-39","2020","2020","Female","F","White","2106-3",25,449175,5.6
,"35-39 years","35-39","2020","2020","Male","M","Black or African American","2054-5",28,80210,34.9
,"35-39 years","35-39","2020","2020","Male","M","White","2106-3",69,488208,14.1
,"35-39 years","35-39","2021","2021","Female","F","Black or African American","2054-5",10,74552,Unreliable
,"35-39 years","35-39","2021","2021","Female","F","White","2106-3",26,445647,5.8
,"35-39 years","35-39","2021","2021","Male","M","Black or African American","2054-5",34,83313,40.8
,"35-39 years","35-39","2021","2021","Male","M","White","2106-3",71,491165,14.5
,"35-39 years","35-39","2022","2022","Female","F","White","2106-3",22,432838,5.1
,"35-39 years","35-39","2022","2022","Male","M","Black or African American","2054-5",21,83777,25.1
,"35-39 years","35-39","2022","2022","Male","M","White","2106-3",94,481734,19.5
,"35-39 years","35-39","2023 ","2023","Female","F","White","2106-3",16,433414,Unreliable
,"35-39 years","35-39","2023 ","2023","Male","M","Black or African American","2054-5",19,86069,Unreliable
,"35-39 years","35-39","2023 ","2023","Male","M","White","2106-3",60,475395,12.6
,"40-44 years","40-44","2018","2018","Female","F","White","2106-3",14,397166,Unreliable
,"40-44 years","40-44","2018","2018","Male","M","White","2106-3",56,426328,13.1
