"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"< 1 year","1","2018","2018","Female","F",409,121818,335.7
,"< 1 year","1","2018","2018","Male","M",504,127229,396.1
,"< 1 year","1","2019","2019","Female","F",421,115122,365.7
,"< 1 year","1","2019","2019","Male","M",527,120182,438.5
,"< 1 year","1","2020","2020","Female","F",364,109347,332.9
,"< 1 year","1","2020","2020","Male","M",485,113716,426.5
,"< 1 year","1","2021","2021","Female","F",429,102970,416.6
,"< 1 year","1","2021","2021","Male","M",451,107383,420.0
,"< 1 year","1","2022","2022","Female","F",396,105775,374.4
,"< 1 year","1","2022","2022","Male","M",468,108941,429.6
,"< 1 year","1","2023 ","2023","Female","F",393,104772,375.1
,"< 1 year","1","2023 ","2023","Male","M",475,108046,439.6
,"1-4 years","1-4","2018","2018","Female","F",49,494759,9.9
,"1-4 years","1-4","2018","2018","Male","M",55,515224,10.7
,"1-4 years","1-4","2019","2019","Female","F",40,481327,8.3
,"1-4 years","1-4","2019","2019","Male","M",61,500574,12.2
,"1-4 years","1-4","2020","2020","Female","F",42,458674,9.2
,"1-4 years","1-4","2020","2020","Male","M",48,474152,10.1
,"1-4 years","1-4","2021","2021","Female","F",55,442775,12.4
,"1-4 years","1-4","2021","2021","Male","M",50,458688,10.9
,"1-4 years","1-4","2022","2022","Female","F",50,423586,11.8
,"1-4 years","1-4","2022","2022","Male","M",53,437876,12.1
,"1-4 years","1-4","2023 ","2023","Female","F",38,421832,9.0
,"1-4 years","1-4","2023 ","2023","Male","M",59,435914,13.5
,"5-9 years","5-9","2018","2018","Female","F",38,644296,5.9
,"5-9 years","5-9","2018","2018","Male","M",47,669529,7.0
,"5-9 years","5-9","2019","2019","Female","F",40,637511,6.3
,"5-9 years","5-9","2019","2019","Male","M",44,662250,6.6
,"5-9 years","5-9","2020","2020","Female","F",36,619866,5.8
,"5-9 years","5-9","2020","2020","Male","M",29,643993,4.5
,"5-9 years","5-9","2021","2021","Female","F",22,609348,3.6
,"5-9 years","5-9","2021","2021","Male","M",36,633054,5.7
,"5-9 years","5-9","2022","2022","Female","F",37,588287,6.3
,"5-9 years","5-9","2022","2022","Male","M",45,610301,7.4
,"5-9 years","5-9","2023 ","2023","Female","F",26,580534,4.5
,"5-9 years","5-9","2023 ","2023","Male","M",31,601417,5.2
,"10-14 years","10-14","2018","2018","Female","F",38,656821,5.8
,"10-14 years","10-14","2018","2018","Male","M",41,682235,6.0
,"10-14 years","10-14","2019","2019","Female","F",43,656719,6.5
,"10-14 years","10-14","2019","2019","Male","M",42,682781,6.2
,"10-14 years","10-14","2020","2020","Female","F",37,654376,5.7
,"10-14 years","10-14","2020","2020","Male","M",54,680113,7.9
,"10-14 years","10-14","2021","2021","Female","F",46,671894,6.8
,"10-14 years","10-14","2021","2021","Male","M",52,703619,7.4
,"10-14 years","10-14","2022","2022","Female","F",42,644391,6.5
,"10-14 years","10-14","2022","2022","Male","M",48,674566,7.1
,"10-14 years","10-14","2023 ","2023","Female","F",35,631186,5.5
,"10-14 years","10-14","2023 ","2023","Male","M",46,658565,7.0
,"15-19 years","15-19","2018","2018","Female","F",45,632857,7.1
,"15-19 years","15-19","2018","2018","Male","M",85,654000,13.0
,"15-19 years","15-19","2019","2019","Female","F",59,633329,9.3
,"15-19 years","15-19","2019","2019","Male","M",76,652942,11.6
,"15-19 years","15-19","2020","2020","Female","F",46,632768,7.3
,"15-19 years","15-19","2020","2020","Male","M",95,652535,14.6
,"15-19 years","15-19","2021","2021","Female","F",51,653636,7.8
,"15-19 years","15-19","2021","2021","Male","M",80,677551,11.8
,"15-19 years","15-19","2022","2022","Female","F",47,654294,7.2
,"15-19 years","15-19","2022","2022","Male","M",101,681724,14.8
,"15-19 years","15-19","2023 ","2023","Female","F",56,669078,8.4
,"15-19 years","15-19","2023 ","2023","Male","M",93,697539,13.3
,"20-24 years","20-24","2018","2018","Female","F",74,640699,11.5
,"20-24 years","20-24","2018","2018","Male","M",150,662759,22.6
,"20-24 years","20-24","2019","2019","Female","F",86,632239,13.6
,"20-24 years","20-24","2019","2019","Male","M",155,650853,23.8
,"20-24 years","20-24","2020","2020","Female","F",98,627055,15.6
,"20-24 years","20-24","2020","2020","Male","M",180,646731,27.8
,"20-24 years","20-24","2021","2021","Female","F",82,622909,13.2
,"20-24 years","20-24","2021","2021","Male","M",168,640615,26.2
,"20-24 years","20-24","2022","2022","Female","F",97,652909,14.9
,"20-24 years","20-24","2022","2022","Male","M",150,675311,22.2
,"20-24 years","20-24","2023 ","2023","Female","F",92,621251,14.8
,"20-24 years","20-24","2023 ","2023","Male","M",148,639605,23.1
,"25-29 years","25-29","2018","2018","Female","F",154,644367,23.9
,"25-29 years","25-29","2018","2018","Male","M",202,692367,29.2
,"25-29 years","25-29","2019","2019","Female","F",137,652649,21.0
,"25-29 years","25-29","2019","2019","Male","M",274,696035,39.4
,"25-29 years","25-29","2020","2020","Female","F",149,651742,22.9
,"25-29 years","25-29","2020","2020","Male","M",303,688076,44.0
,"25-29 years","25-29","2021","2021","Female","F",147,637189,23.1
,"25-29 years","25-29","2021","2021","Male","M",327,658177,49.7
,"25-29 years","25-29","2022","2022","Female","F",150,622816,24.1
,"25-29 years","25-29","2022","2022","Male","M",301,649228,46.4
,"25-29 years","25-29","2023 ","2023","Female","F",121,619764,19.5
,"25-29 years","25-29","2023 ","2023","Male","M",282,633105,44.5
,"30-34 years","30-34","2018","2018","Female","F",188,563058,33.4
,"30-34 years","30-34","2018","2018","Male","M",301,618191,48.7
,"30-34 years","30-34","2019","2019","Female","F",194,567809,34.2
,"30-34 years","30-34","2019","2019","Male","M",346,623267,55.5
,"30-34 years","30-34","2020","2020","Female","F",229,579882,39.5
,"30-34 years","30-34","2020","2020","Male","M",405,633634,63.9
,"30-34 years","30-34","2021","2021","Female","F",245,593866,41.3
,"30-34 years","30-34","2021","2021","Male","M",451,639889,70.5
,"30-34 years","30-34","2022","2022","Female","F",238,599257,39.7
,"30-34 years","30-34","2022","2022","Male","M",491,645193,76.1
,"30-34 years","30-34","2023 ","2023","Female","F",259,613976,42.2
,"30-34 years","30-34","2023 ","2023","Male","M",463,647103,71.5
,"35-39 years","35-39","2018","2018","Female","F",303,547520,55.3
,"35-39 years","35-39","2018","2018","Male","M",457,581641,78.6
,"35-39 years","35-39","2019","2019","Female","F",314,547537,57.3
,"35-39 years","35-39","2019","2019","Male","M",500,584613,85.5
,"35-39 years","35-39","2020","2020","Female","F",300,543192,55.2
,"35-39 years","35-39","2020","2020","Male","M",626,581493,107.7
,"35-39 years","35-39","2021","2021","Female","F",313,546700,57.3
,"35-39 years","35-39","2021","2021","Male","M",710,597970,118.7
,"35-39 years","35-39","2022","2022","Female","F",338,537025,62.9
,"35-39 years","35-39","2022","2022","Male","M",649,592395,109.6
,"35-39 years","35-39","2023 ","2023","Female","F",319,542452,58.8
,"35-39 years","35-39","2023 ","2023","Male","M",615,590376,104.2
,"40-44 years","40-44","2018","2018","Female","F",428,516079,82.9
,"40-44 years","40-44","2018","2018","Male","M",640,525165,121.9
,"40-44 years","40-44","2019","2019","Female","F",463,511598,90.5
,"40-44 years","40-44","2019","2019","Male","M",675,524300,128.7
,"40-44 years","40-44","2020","2020","Female","F",500,511822,97.7
,"40-44 years","40-44","2020","2020","Male","M",835,530990,157.3
,"40-44 years","40-44","2021","2021","Female","F",530,520609,101.8
,"40-44 years","40-44","2021","2021","Male","M",892,551409,161.8
,"40-44 years","40-44","2022","2022","Female","F",503,518027,97.1
,"40-44 years","40-44","2022","2022","Male","M",918,555938,165.1
,"40-44 years","40-44","2023 ","2023","Female","F",546,525188,104.0
,"40-44 years","40-44","2023 ","2023","Male","M",883,558627,158.1
,"45-49 years","45-49","2018","2018","Female","F",602,494329,121.8
,"45-49 years","45-49","2018","2018","Male","M",1007,498377,202.1
,"45-49 years","45-49","2019","2019","Female","F",625,493191,126.7
,"45-49 years","45-49","2019","2019","Male","M",1067,494664,215.7
,"45-49 years","45-49","2020","2020","Female","F",657,491041,133.8
,"45-49 years","45-49","2020","2020","Male","M",1183,489706,241.6
,"45-49 years","45-49","2021","2021","Female","F",724,493009,146.9
,"45-49 years","45-49","2021","2021","Male","M",1345,502200,267.8
,"45-49 years","45-49","2022","2022","Female","F",719,487419,147.5
,"45-49 years","45-49","2022","2022","Male","M",1279,503199,254.2
,"45-49 years","45-49","2023 ","2023","Female","F",691,490316,140.9
,"45-49 years","45-49","2023 ","2023","Male","M",1194,501588,238.0
,"50-54 years","50-54","2018","2018","Female","F",888,435943,203.7
,"50-54 years","50-54","2018","2018","Male","M",1606,445752,360.3
,"50-54 years","50-54","2019","2019","Female","F",892,438347,203.5
,"50-54 years","50-54","2019","2019","Male","M",1615,449680,359.1
,"50-54 years","50-54","2020","2020","Female","F",1027,444391,231.1
,"50-54 years","50-54","2020","2020","Male","M",1751,455565,384.4
,"50-54 years","50-54","2021","2021","Female","F",1003,456603,219.7
,"50-54 years","50-54","2021","2021","Male","M",1874,476484,393.3
,"50-54 years","50-54","2022","2022","Female","F",1000,457531,218.6
,"50-54 years","50-54","2022","2022","Male","M",1804,478487,377.0
,"50-54 years","50-54","2023 ","2023","Female","F",1001,465500,215.0
,"50-54 years","50-54","2023 ","2023","Male","M",1659,474146,349.9
,"55-59 years","55-59","2018","2018","Female","F",1228,376352,326.3
,"55-59 years","55-59","2018","2018","Male","M",2141,366539,584.1
,"55-59 years","55-59","2019","2019","Female","F",1287,384705,334.5
,"55-59 years","55-59","2019","2019","Male","M",2206,376619,585.7
,"55-59 years","55-59","2020","2020","Female","F",1388,389668,356.2
,"55-59 years","55-59","2020","2020","Male","M",2504,383763,652.5
,"55-59 years","55-59","2021","2021","Female","F",1382,400028,345.5
,"55-59 years","55-59","2021","2021","Male","M",2517,407263,618.0
,"55-59 years","55-59","2022","2022","Female","F",1375,400216,343.6
,"55-59 years","55-59","2022","2022","Male","M",2401,412277,582.4
,"55-59 years","55-59","2023 ","2023","Female","F",1349,409678,329.3
,"55-59 years","55-59","2023 ","2023","Male","M",2358,420858,560.3
,"60-64 years ","60-64","2018","2018","Female","F",1576,303263,519.7
,"60-64 years ","60-64","2018","2018","Male","M",2532,278571,908.9
,"60-64 years ","60-64","2019","2019","Female","F",1646,311823,527.9
,"60-64 years ","60-64","2019","2019","Male","M",2540,289491,877.4
,"60-64 years ","60-64","2020","2020","Female","F",1774,321694,551.5
,"60-64 years ","60-64","2020","2020","Male","M",2896,301700,959.9
,"60-64 years ","60-64","2021","2021","Female","F",1844,331167,556.8
,"60-64 years ","60-64","2021","2021","Male","M",3089,321068,962.1
,"60-64 years ","60-64","2022","2022","Female","F",1885,336524,560.1
,"60-64 years ","60-64","2022","2022","Male","M",2991,328304,911.0
,"60-64 years ","60-64","2023 ","2023","Female","F",1823,349225,522.0
,"60-64 years ","60-64","2023 ","2023","Male","M",3043,339723,895.7
,"65-69 years","65-69","2018","2018","Female","F",1777,222146,799.9
,"65-69 years","65-69","2018","2018","Male","M",2446,192036,1273.7
,"65-69 years","65-69","2019","2019","Female","F",1778,231982,766.4
,"65-69 years","65-69","2019","2019","Male","M",2661,201439,1321.0
,"65-69 years","65-69","2020","2020","Female","F",2030,242441,837.3
,"65-69 years","65-69","2020","2020","Male","M",3094,212589,1455.4
,"65-69 years","65-69","2021","2021","Female","F",2092,253698,824.6
,"65-69 years","65-69","2021","2021","Male","M",3214,229428,1400.9
,"65-69 years","65-69","2022","2022","Female","F",2276,261680,869.8
,"65-69 years","65-69","2022","2022","Male","M",3236,237510,1362.5
,"65-69 years","65-69","2023 ","2023","Female","F",2149,274813,782.0
,"65-69 years","65-69","2023 ","2023","Male","M",3210,250182,1283.1
,"70-74 years","70-74","2018","2018","Female","F",2015,157947,1275.7
,"70-74 years","70-74","2018","2018","Male","M",2429,127658,1902.7
,"70-74 years","70-74","2019","2019","Female","F",2037,166285,1225.0
,"70-74 years","70-74","2019","2019","Male","M",2668,135824,1964.3
,"70-74 years","70-74","2020","2020","Female","F",2409,174823,1378.0
,"70-74 years","70-74","2020","2020","Male","M",3058,143956,2124.3
,"70-74 years","70-74","2021","2021","Female","F",2436,182711,1333.3
,"70-74 years","70-74","2021","2021","Male","M",3033,154013,1969.3
,"70-74 years","70-74","2022","2022","Female","F",2553,188066,1357.5
,"70-74 years","70-74","2022","2022","Male","M",3156,157772,2000.4
,"70-74 years","70-74","2023 ","2023","Female","F",2599,198644,1308.4
,"70-74 years","70-74","2023 ","2023","Male","M",3252,166984,1947.5
,"75-79 years","75-79","2018","2018","Female","F",2326,109358,2127.0
,"75-79 years","75-79","2018","2018","Male","M",2410,79604,3027.5
,"75-79 years","75-79","2019","2019","Female","F",2311,114745,2014.0
,"75-79 years","75-79","2019","2019","Male","M",2638,83427,3162.0
,"75-79 years","75-79","2020","2020","Female","F",2657,119161,2229.8
,"75-79 years","75-79","2020","2020","Male","M",2864,87357,3278.5
,"75-79 years","75-79","2021","2021","Female","F",2783,120023,2318.7
,"75-79 years","75-79","2021","2021","Male","M",2890,90273,3201.4
,"75-79 years","75-79","2022","2022","Female","F",2842,128108,2218.4
,"75-79 years","75-79","2022","2022","Male","M",3005,97582,3079.5
,"75-79 years","75-79","2023 ","2023","Female","F",2875,135627,2119.8
,"75-79 years","75-79","2023 ","2023","Male","M",3074,105001,2927.6
,"80-84 years","80-84","2018","2018","Female","F",2787,75767,3678.4
,"80-84 years","80-84","2018","2018","Male","M",2653,51316,5169.9
,"80-84 years","80-84","2019","2019","Female","F",2825,79640,3547.2
,"80-84 years","80-84","2019","2019","Male","M",2663,54245,4909.2
