"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"< 1 year","1","2018","2018","Male","M",12,127229,Unreliable
,"< 1 year","1","2019","2019","Female","F",11,115122,Unreliable
,"< 1 year","1","2019","2019","Male","M",12,120182,Unreliable
,"< 1 year","1","2020","2020","Female","F",11,109347,Unreliable
,"< 1 year","1","2021","2021","Male","M",10,107383,Unreliable
,"< 1 year","1","2022","2022","Female","F",11,105775,Unreliable
,"< 1 year","1","2022","2022","Male","M",10,108941,Unreliable
,"< 1 year","1","2023 ","2023","Male","M",11,108046,Unreliable
,"1-4 years","1-4","2018","2018","Male","M",19,515224,Unreliable
,"1-4 years","1-4","2019","2019","Male","M",22,500574,4.4
,"1-4 years","1-4","2020","2020","Female","F",12,458674,Unreliable
,"1-4 years","1-4","2020","2020","Male","M",23,474152,4.9
,"1-4 years","1-4","2021","2021","Female","F",14,442775,Unreliable
,"1-4 years","1-4","2021","2021","Male","M",18,458688,Unreliable
,"1-4 years","1-4","2022","2022","Female","F",10,423586,Unreliable
,"1-4 years","1-4","2022","2022","Male","M",17,437876,Unreliable
,"1-4 years","1-4","2023 ","2023","Male","M",22,435914,5.0
,"10-14 years","10-14","2020","2020","Male","M",12,680113,Unreliable
,"15-19 years","15-19","2018","2018","Female","F",12,632857,Unreliable
,"15-19 years","15-19","2018","2018","Male","M",34,654000,5.2
,"15-19 years","15-19","2019","2019","Female","F",14,633329,Unreliable
,"15-19 years","15-19","2019","2019","Male","M",56,652942,8.6
,"15-19 years","15-19","2020","2020","Female","F",35,632768,5.5
,"15-19 years","15-19","2020","2020","Male","M",126,652535,19.3
,"15-19 years","15-19","2021","2021","Female","F",34,653636,5.2
,"15-19 years","15-19","2021","2021","Male","M",103,677551,15.2
,"15-19 years","15-19","2022","2022","Female","F",35,654294,5.3
,"15-19 years","15-19","2022","2022","Male","M",77,681724,11.3
,"15-19 years","15-19","2023 ","2023","Female","F",37,669078,5.5
,"15-19 years","15-19","2023 ","2023","Male","M",68,697539,9.7
,"20-24 years","20-24","2018","2018","Female","F",21,640699,3.3
,"20-24 years","20-24","2018","2018","Male","M",89,662759,13.4
,"20-24 years","20-24","2019","2019","Female","F",30,632239,4.7
,"20-24 years","20-24","2019","2019","Male","M",164,650853,25.2
,"20-24 years","20-24","2020","2020","Female","F",53,627055,8.5
,"20-24 years","20-24","2020","2020","Male","M",328,646731,50.7
,"20-24 years","20-24","2021","2021","Female","F",65,622909,10.4
,"20-24 years","20-24","2021","2021","Male","M",299,640615,46.7
,"20-24 years","20-24","2022","2022","Female","F",71,652909,10.9
,"20-24 years","20-24","2022","2022","Male","M",237,675311,35.1
,"20-24 years","20-24","2023 ","2023","Female","F",60,621251,9.7
,"20-24 years","20-24","2023 ","2023","Male","M",209,639605,32.7
,"25-29 years","25-29","2018","2018","Female","F",28,644367,4.3
,"25-29 years","25-29","2018","2018","Male","M",149,692367,21.5
,"25-29 years","25-29","2019","2019","Female","F",37,652649,5.7
