"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"1-4 years","1-4","2018","2018","Male","M","White","2106-3",19,260600,Unreliable
,"1-4 years","1-4","2019","2019","Male","M","White","2106-3",13,259436,Unreliable
,"1-4 years","1-4","2020","2020","Male","M","White","2106-3",17,237047,Unreliable
,"1-4 years","1-4","2021","2021","Male","M","White","2106-3",14,226225,Unreliable
,"1-4 years","1-4","2022","2022","Male","M","White","2106-3",14,212801,Unreliable
,"1-4 years","1-4","2023 ","2023","Female","F","White","2106-3",13,197918,Unreliable
,"1-4 years","1-4","2023 ","2023","Male","M","White","2106-3",13,208948,Unreliable
,"15-19 years","15-19","2018","2018","Female","F","White","2106-3",13,332554,Unreliable
,"15-19 years","15-19","2018","2018","Male","M","White","2106-3",31,353475,8.8
,"15-19 years","15-19","2019","2019","Female","F","White","2106-3",11,327069,Unreliable
,"15-19 years","15-19","2019","2019","Male","M","Black or African American","2054-5",16,69104,Unreliable
,"15-19 years","15-19","2019","2019","Male","M","White","2106-3",33,347755,9.5
,"15-19 years","15-19","2020","2020","Female","F","White","2106-3",35,320038,10.9
,"15-19 years","15-19","2020","2020","Male","M","Black or African American","2054-5",19,66920,Unreliable
,"15-19 years","15-19","2020","2020","Male","M","White","2106-3",83,340126,24.4
,"15-19 years","15-19","2021","2021","Female","F","White","2106-3",33,320619,10.3
,"15-19 years","15-19","2021","2021","Male","M","Black or African American","2054-5",17,67534,Unreliable
,"15-19 years","15-19","2021","2021","Male","M","White","2106-3",60,341725,17.6
,"15-19 years","15-19","2022","2022","Female","F","White","2106-3",21,312621,6.7
,"15-19 years","15-19","2022","2022","Male","M","White","2106-3",43,334897,12.8
,"15-19 years","15-19","2023 ","2023","Female","F","White","2106-3",18,312728,Unreliable
,"15-19 years","15-19","2023 ","2023","Male","M","Black or African American","2054-5",13,66353,Unreliable
,"15-19 years","15-19","2023 ","2023","Male","M","White","2106-3",43,333149,12.9
,"20-24 years","20-24","2018","2018","Female","F","White","2106-3",42,368061,11.4
,"20-24 years","20-24","2018","2018","Male","M","Black or African American","2054-5",19,85191,Unreliable
,"20-24 years","20-24","2018","2018","Male","M","White","2106-3",105,407641,25.8
,"20-24 years","20-24","2019","2019","Female","F","White","2106-3",40,356232,11.2
