"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"10-14 years","10-14","2020","2020","Female","F",12,654376,Unreliable
,"10-14 years","10-14","2020","2020","Male","M",12,680113,Unreliable
,"10-14 years","10-14","2021","2021","Female","F",12,671894,Unreliable
,"10-14 years","10-14","2022","2022","Female","F",10,644391,Unreliable
,"10-14 years","10-14","2023 ","2023","Female","F",10,631186,Unreliable
,"15-19 years","15-19","2018","2018","Female","F",13,632857,Unreliable
,"15-19 years","15-19","2018","2018","Male","M",49,654000,7.5
,"15-19 years","15-19","2019","2019","Male","M",46,652942,7.0
,"15-19 years","15-19","2020","2020","Female","F",24,632768,3.8
,"15-19 years","15-19","2020","2020","Male","M",50,652535,7.7
,"15-19 years","15-19","2021","2021","Female","F",24,653636,3.7
,"15-19 years","15-19","2021","2021","Male","M",59,677551,8.7
,"15-19 years","15-19","2022","2022","Female","F",10,654294,Unreliable
,"15-19 years","15-19","2022","2022","Male","M",47,681724,6.9
,"15-19 years","15-19","2023 ","2023","Female","F",16,669078,Unreliable
,"15-19 years","15-19","2023 ","2023","Male","M",48,697539,6.9
,"20-24 years","20-24","2018","2018","Female","F",23,640699,3.6
,"20-24 years","20-24","2018","2018","Male","M",111,662759,16.7
,"20-24 years","20-24","2019","2019","Female","F",28,632239,4.4
,"20-24 years","20-24","2019","2019","Male","M",119,650853,18.3
,"20-24 years","20-24","2020","2020","Female","F",19,627055,Unreliable
,"20-24 years","20-24","2020","2020","Male","M",105,646731,16.2
,"20-24 years","20-24","2021","2021","Female","F",26,622909,4.2
,"20-24 years","20-24","2021","2021","Male","M",97,640615,15.1
,"20-24 years","20-24","2022","2022","Female","F",23,652909,3.5
,"20-24 years","20-24","2022","2022","Male","M",109,675311,16.1
,"20-24 years","20-24","2023 ","2023","Female","F",18,621251,Unreliable
,"20-24 years","20-24","2023 ","2023","Male","M",114,639605,17.8
,"25-29 years","25-29","2018","2018","Female","F",27,644367,4.2
,"25-29 years","25-29","2018","2018","Male","M",119,692367,17.2
,"25-29 years","25-29","2019","2019","Female","F",19,652649,Unreliable
,"25-29 years","25-29","2019","2019","Male","M",123,696035,17.7
,"25-29 years","25-29","2020","2020","Female","F",26,651742,4.0
,"25-29 years","25-29","2020","2020","Male","M",113,688076,16.4
,"25-29 years","25-29","2021","2021","Female","F",28,637189,4.4
,"25-29 years","25-29","2021","2021","Male","M",124,658177,18.8
,"25-29 years","25-29","2022","2022","Female","F",22,622816,3.5
,"25-29 years","25-29","2022","2022","Male","M",108,649228,16.6
,"25-29 years","25-29","2023 ","2023","Female","F",24,619764,3.9
,"25-29 years","25-29","2023 ","2023","Male","M",106,633105,16.7
,"30-34 years","30-34","2018","2018","Female","F",18,563058,Unreliable
,"30-34 years","30-34","2018","2018","Male","M",101,618191,16.3
,"30-34 years","30-34","2019","2019","Female","F",15,567809,Unreliable
,"30-34 years","30-34","2019","2019","Male","M",112,623267,18.0
,"30-34 years","30-34","2020","2020","Female","F",22,579882,3.8
,"30-34 years","30-34","2020","2020","Male","M",128,633634,20.2
,"30-34 years","30-34","2021","2021","Female","F",25,593866,4.2
,"30-34 years","30-34","2021","2021","Male","M",121,639889,18.9
,"30-34 years","30-34","2022","2022","Female","F",26,599257,4.3
,"30-34 years","30-34","2022","2022","Male","M",111,645193,17.2
,"30-34 years","30-34","2023 ","2023","Female","F",25,613976,4.1
,"30-34 years","30-34","2023 ","2023","Male","M",121,647103,18.7
,"35-39 years","35-39","2018","2018","Female","F",26,547520,4.7
,"35-39 years","35-39","2018","2018","Male","M",74,581641,12.7
,"35-39 years","35-39","2019","2019","Female","F",17,547537,Unreliable
,"35-39 years","35-39","2019","2019","Male","M",77,584613,13.2
,"35-39 years","35-39","2020","2020","Female","F",20,543192,3.7
,"35-39 years","35-39","2020","2020","Male","M",67,581493,11.5
,"35-39 years","35-39","2021","2021","Female","F",22,546700,4.0
,"35-39 years","35-39","2021","2021","Male","M",86,597970,14.4
,"35-39 years","35-39","2022","2022","Female","F",18,537025,Unreliable
,"35-39 years","35-39","2022","2022","Male","M",94,592395,15.9
,"35-39 years","35-39","2023 ","2023","Female","F",22,542452,4.1
,"35-39 years","35-39","2023 ","2023","Male","M",116,590376,19.6
,"40-44 years","40-44","2018","2018","Male","M",71,525165,13.5
,"40-44 years","40-44","2019","2019","Female","F",19,511598,Unreliable
,"40-44 years","40-44","2019","2019","Male","M",56,524300,10.7
,"40-44 years","40-44","2020","2020","Female","F",11,511822,Unreliable
,"40-44 years","40-44","2020","2020","Male","M",82,530990,15.4
,"40-44 years","40-44","2021","2021","Female","F",14,520609,Unreliable
