"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"10-14 years","10-14","2021","2021","Female","F","White","2106-3",10,298405,Unreliable
,"15-19 years","15-19","2018","2018","Female","F","White","2106-3",18,332554,Unreliable
,"15-19 years","15-19","2018","2018","Male","M","White","2106-3",47,353475,13.3
,"15-19 years","15-19","2019","2019","Female","F","White","2106-3",13,327069,Unreliable
,"15-19 years","15-19","2019","2019","Male","M","White","2106-3",53,347755,15.2
,"15-19 years","15-19","2020","2020","Female","F","White","2106-3",21,320038,6.6
,"15-19 years","15-19","2020","2020","Male","M","White","2106-3",38,340126,11.2
,"15-19 years","15-19","2021","2021","Female","F","White","2106-3",14,320619,Unreliable
,"15-19 years","15-19","2021","2021","Male","M","White","2106-3",32,341725,9.4
,"15-19 years","15-19","2022","2022","Female","F","White","2106-3",13,312621,Unreliable
,"15-19 years","15-19","2022","2022","Male","M","White","2106-3",42,334897,12.5
,"15-19 years","15-19","2023 ","2023","Female","F","White","2106-3",23,312728,7.4
,"15-19 years","15-19","2023 ","2023","Male","M","White","2106-3",40,333149,12.0
,"20-24 years","20-24","2018","2018","Female","F","White","2106-3",35,368061,9.5
,"20-24 years","20-24","2018","2018","Male","M","Black or African American","2054-5",19,85191,Unreliable
,"20-24 years","20-24","2018","2018","Male","M","White","2106-3",92,407641,22.6
,"20-24 years","20-24","2019","2019","Female","F","White","2106-3",20,356232,5.6
,"20-24 years","20-24","2019","2019","Male","M","Black or African American","2054-5",17,81875,Unreliable
,"20-24 years","20-24","2019","2019","Male","M","White","2106-3",93,392288,23.7
,"20-24 years","20-24","2020","2020","Female","F","White","2106-3",17,344751,Unreliable
,"20-24 years","20-24","2020","2020","Male","M","Black or African American","2054-5",18,79239,Unreliable
,"20-24 years","20-24","2020","2020","Male","M","White","2106-3",85,379665,22.4
,"20-24 years","20-24","2021","2021","Female","F","White","2106-3",15,330416,Unreliable
,"20-24 years","20-24","2021","2021","Male","M","Black or African American","2054-5",24,76488,31.4
,"20-24 years","20-24","2021","2021","Male","M","White","2106-3",103,362140,28.4
,"20-24 years","20-24","2022","2022","Female","F","White","2106-3",20,337528,5.9
,"20-24 years","20-24","2022","2022","Male","M","Black or African American","2054-5",22,77209,28.5
,"20-24 years","20-24","2022","2022","Male","M","White","2106-3",62,372447,16.6
,"20-24 years","20-24","2023 ","2023","Female","F","White","2106-3",11,319974,Unreliable
,"20-24 years","20-24","2023 ","2023","Male","M","Black or African American","2054-5",16,71851,Unreliable
,"20-24 years","20-24","2023 ","2023","Male","M","White","2106-3",71,351929,20.2
,"25-29 years","25-29","2018","2018","Female","F","White","2106-3",31,474286,6.5
,"25-29 years","25-29","2018","2018","Male","M","Black or African American","2054-5",21,104888,20.0
,"25-29 years","25-29","2018","2018","Male","M","White","2106-3",115,518092,22.2
,"25-29 years","25-29","2019","2019","Female","F","White","2106-3",27,456979,5.9
,"25-29 years","25-29","2019","2019","Male","M","Black or African American","2054-5",29,105178,27.6
,"25-29 years","25-29","2019","2019","Male","M","White","2106-3",129,500960,25.8
,"25-29 years","25-29","2020","2020","Female","F","White","2106-3",28,431708,6.5
,"25-29 years","25-29","2020","2020","Male","M","Black or African American","2054-5",24,103066,23.3
,"25-29 years","25-29","2020","2020","Male","M","White","2106-3",117,475292,24.6
,"25-29 years","25-29","2021","2021","Female","F","Black or African American","2054-5",10,83591,Unreliable
,"25-29 years","25-29","2021","2021","Female","F","White","2106-3",24,396428,6.1
,"25-29 years","25-29","2021","2021","Male","M","Black or African American","2054-5",24,95000,25.3
,"25-29 years","25-29","2021","2021","Male","M","White","2106-3",110,429734,25.6
,"25-29 years","25-29","2022","2022","Female","F","White","2106-3",31,375246,8.3
,"25-29 years","25-29","2022","2022","Male","M","Black or African American","2054-5",25,90164,27.7
,"25-29 years","25-29","2022","2022","Male","M","White","2106-3",86,409406,21.0
,"25-29 years","25-29","2023 ","2023","Female","F","White","2106-3",26,363582,7.2
,"25-29 years","25-29","2023 ","2023","Male","M","Black or African American","2054-5",22,85848,25.6
,"25-29 years","25-29","2023 ","2023","Male","M","White","2106-3",94,388327,24.2
,"30-34 years","30-34","2018","2018","Female","F","White","2106-3",40,472481,8.5
,"30-34 years","30-34","2018","2018","Male","M","Black or African American","2054-5",13,88321,Unreliable
,"30-34 years","30-34","2018","2018","Male","M","White","2106-3",132,514820,25.6
,"30-34 years","30-34","2019","2019","Female","F","White","2106-3",36,474707,7.6
,"30-34 years","30-34","2019","2019","Male","M","Black or African American","2054-5",27,93328,28.9
,"30-34 years","30-34","2019","2019","Male","M","White","2106-3",130,516620,25.2
,"30-34 years","30-34","2020","2020","Female","F","White","2106-3",41,476339,8.6
,"30-34 years","30-34","2020","2020","Male","M","Black or African American","2054-5",23,98085,23.4
,"30-34 years","30-34","2020","2020","Male","M","White","2106-3",148,518781,28.5
,"30-34 years","30-34","2021","2021","Female","F","White","2106-3",26,464109,5.6
,"30-34 years","30-34","2021","2021","Male","M","Black or African American","2054-5",25,100699,24.8
,"30-34 years","30-34","2021","2021","Male","M","White","2106-3",148,502165,29.5
,"30-34 years","30-34","2022","2022","Female","F","Black or African American","2054-5",10,89199,Unreliable
,"30-34 years","30-34","2022","2022","Female","F","White","2106-3",37,445221,8.3
,"30-34 years","30-34","2022","2022","Male","M","Black or African American","2054-5",21,101692,20.7
,"30-34 years","30-34","2022","2022","Male","M","White","2106-3",148,487025,30.4
,"30-34 years","30-34","2023 ","2023","Female","F","White","2106-3",33,433728,7.6
,"30-34 years","30-34","2023 ","2023","Male","M","Black or African American","2054-5",17,101673,Unreliable
,"30-34 years","30-34","2023 ","2023","Male","M","White","2106-3",117,468693,25.0
,"35-39 years","35-39","2018","2018","Female","F","White","2106-3",57,446983,12.8
,"35-39 years","35-39","2018","2018","Male","M","Black or African American","2054-5",14,77662,Unreliable
,"35-39 years","35-39","2018","2018","Male","M","White","2106-3",142,485131,29.3
,"35-39 years","35-39","2019","2019","Female","F","White","2106-3",47,449820,10.4
,"35-39 years","35-39","2019","2019","Male","M","Black or African American","2054-5",17,79200,Unreliable
,"35-39 years","35-39","2019","2019","Male","M","White","2106-3",162,489050,33.1
,"35-39 years","35-39","2020","2020","Female","F","White","2106-3",33,449175,7.3
,"35-39 years","35-39","2020","2020","Male","M","Black or African American","2054-5",10,80210,Unreliable
,"35-39 years","35-39","2020","2020","Male","M","White","2106-3",115,488208,23.6
,"35-39 years","35-39","2021","2021","Female","F","White","2106-3",49,445647,11.0
,"35-39 years","35-39","2021","2021","Male","M","Black or African American","2054-5",19,83313,Unreliable
,"35-39 years","35-39","2021","2021","Male","M","White","2106-3",134,491165,27.3
,"35-39 years","35-39","2022","2022","Female","F","White","2106-3",37,432838,8.5
,"35-39 years","35-39","2022","2022","Male","M","Black or African American","2054-5",13,83777,Unreliable
,"35-39 years","35-39","2022","2022","Male","M","White","2106-3",129,481734,26.8
,"35-39 years","35-39","2023 ","2023","Female","F","White","2106-3",34,433414,7.8
,"35-39 years","35-39","2023 ","2023","Male","M","Black or African American","2054-5",18,86069,Unreliable
,"35-39 years","35-39","2023 ","2023","Male","M","White","2106-3",149,475395,31.3
,"40-44 years","40-44","2018","2018","Female","F","White","2106-3",43,397166,10.8
,"40-44 years","40-44","2018","2018","Male","M","Black or African American","2054-5",13,68201,Unreliable
,"40-44 years","40-44","2018","2018","Male","M","White","2106-3",115,426328,27.0
,"40-44 years","40-44","2019","2019","Female","F","White","2106-3",37,398846,9.3
,"40-44 years","40-44","2019","2019","Male","M","Black or African American","2054-5",14,69485,Unreliable
,"40-44 years","40-44","2019","2019","Male","M","White","2106-3",129,429067,30.1
,"40-44 years","40-44","2020","2020","Female","F","White","2106-3",36,403014,8.9
,"40-44 years","40-44","2020","2020","Male","M","Black or African American","2054-5",11,71452,Unreliable
,"40-44 years","40-44","2020","2020","Male","M","White","2106-3",122,433931,28.1
,"40-44 years","40-44","2021","2021","Female","F","White","2106-3",34,409177,8.3
,"40-44 years","40-44","2021","2021","Male","M","Black or African American","2054-5",20,74723,26.8
,"40-44 years","40-44","2021","2021","Male","M","White","2106-3",124,448488,27.6
,"40-44 years","40-44","2022","2022","Female","F","White","2106-3",31,406619,7.6
,"40-44 years","40-44","2022","2022","Male","M","Black or African American","2054-5",16,75169,Unreliable
,"40-44 years","40-44","2022","2022","Male","M","White","2106-3",128,450986,28.4
,"40-44 years","40-44","2023 ","2023","Female","F","White","2106-3",44,413653,10.6
,"40-44 years","40-44","2023 ","2023","Male","M","Black or African American","2054-5",14,76542,Unreliable
,"40-44 years","40-44","2023 ","2023","Male","M","White","2106-3",145,454426,31.9
,"45-49 years","45-49","2018","2018","Female","F","White","2106-3",61,453183,13.5
,"45-49 years","45-49","2018","2018","Male","M","Black or African American","2054-5",12,73019,Unreliable
,"45-49 years","45-49","2018","2018","Male","M","White","2106-3",160,476424,33.6
,"45-49 years","45-49","2019","2019","Female","F","White","2106-3",38,429578,8.8
,"45-49 years","45-49","2019","2019","Male","M","White","2106-3",177,454600,38.9
,"45-49 years","45-49","2020","2020","Female","F","White","2106-3",54,404856,13.3
,"45-49 years","45-49","2020","2020","Male","M","Black or African American","2054-5",11,68277,Unreliable
,"45-49 years","45-49","2020","2020","Male","M","White","2106-3",121,430735,28.1
,"45-49 years","45-49","2021","2021","Female","F","White","2106-3",36,383097,9.4
,"45-49 years","45-49","2021","2021","Male","M","Black or African American","2054-5",10,67842,Unreliable
,"45-49 years","45-49","2021","2021","Male","M","White","2106-3",128,416374,30.7
,"45-49 years","45-49","2022","2022","Female","F","White","2106-3",45,369065,12.2
,"45-49 years","45-49","2022","2022","Male","M","White","2106-3",138,406626,33.9
,"45-49 years","45-49","2023 ","2023","Female","F","White","2106-3",29,370475,7.8
,"45-49 years","45-49","2023 ","2023","Male","M","White","2106-3",121,402954,30.0
,"50-54 years","50-54","2018","2018","Female","F","White","2106-3",79,501124,15.8
,"50-54 years","50-54","2018","2018","Male","M","White","2106-3",228,515351,44.2
,"50-54 years","50-54","2019","2019","Female","F","White","2106-3",82,479706,17.1
,"50-54 years","50-54","2019","2019","Male","M","Black or African American","2054-5",10,74455,Unreliable
,"50-54 years","50-54","2019","2019","Male","M","White","2106-3",196,494222,39.7
,"50-54 years","50-54","2020","2020","Female","F","White","2106-3",65,467492,13.9
,"50-54 years","50-54","2020","2020","Male","M","White","2106-3",154,483552,31.8
,"50-54 years","50-54","2021","2021","Female","F","White","2106-3",53,456901,11.6
,"50-54 years","50-54","2021","2021","Male","M","White","2106-3",147,486525,30.2
,"50-54 years","50-54","2022","2022","Female","F","White","2106-3",51,435083,11.7
,"50-54 years","50-54","2022","2022","Male","M","Black or African American","2054-5",14,72839,Unreliable
,"50-54 years","50-54","2022","2022","Male","M","White","2106-3",155,470338,33.0
,"50-54 years","50-54","2023 ","2023","Female","F","White","2106-3",46,419792,11.0
,"50-54 years","50-54","2023 ","2023","Male","M","White","2106-3",144,449933,32.0
,"55-59 years","55-59","2018","2018","Female","F","White","2106-3",61,583536,10.5
,"55-59 years","55-59","2018","2018","Male","M","Black or African American","2054-5",14,78690,Unreliable
,"55-59 years","55-59","2018","2018","Male","M","White","2106-3",225,588269,38.2
,"55-59 years","55-59","2019","2019","Female","F","White","2106-3",80,567358,14.1
,"55-59 years","55-59","2019","2019","Male","M","White","2106-3",240,572604,41.9
,"55-59 years","55-59","2020","2020","Female","F","White","2106-3",68,543352,12.5
,"55-59 years","55-59","2020","2020","Male","M","White","2106-3",212,548968,38.6
,"55-59 years","55-59","2021","2021","Female","F","White","2106-3",58,512961,11.3
,"55-59 years","55-59","2021","2021","Male","M","Black or African American","2054-5",10,76321,Unreliable
,"55-59 years","55-59","2021","2021","Male","M","White","2106-3",176,531753,33.1
,"55-59 years","55-59","2022","2022","Female","F","White","2106-3",63,478237,13.2
,"55-59 years","55-59","2022","2022","Male","M","Black or African American","2054-5",10,73770,Unreliable
,"55-59 years","55-59","2022","2022","Male","M","White","2106-3",208,501634,41.5
,"55-59 years","55-59","2023 ","2023","Female","F","White","2106-3",60,457712,13.1
,"55-59 years","55-59","2023 ","2023","Male","M","White","2106-3",182,477648,38.1
,"60-64 years ","60-64","2018","2018","Female","F","White","2106-3",73,576401,12.7
,"60-64 years ","60-64","2018","2018","Male","M","White","2106-3",214,562307,38.1
,"60-64 years ","60-64","2019","2019","Female","F","White","2106-3",70,568109,12.3
,"60-64 years ","60-64","2019","2019","Male","M","Black or African American","2054-5",11,66845,Unreliable
,"60-64 years ","60-64","2019","2019","Male","M","White","2106-3",224,557447,40.2
,"60-64 years ","60-64","2020","2020","Female","F","White","2106-3",49,560394,8.7
,"60-64 years ","60-64","2020","2020","Male","M","White","2106-3",187,552946,33.8
,"60-64 years ","60-64","2021","2021","Female","F","White","2106-3",50,547511,9.1
,"60-64 years ","60-64","2021","2021","Male","M","White","2106-3",164,556699,29.5
,"60-64 years ","60-64","2022","2022","Female","F","White","2106-3",59,528757,11.2
,"60-64 years ","60-64","2022","2022","Male","M","Black or African American","2054-5",11,70661,Unreliable
,"60-64 years ","60-64","2022","2022","Male","M","White","2106-3",179,540668,33.1
,"60-64 years ","60-64","2023 ","2023","Female","F","White","2106-3",59,520481,11.3
,"60-64 years ","60-64","2023 ","2023","Male","M","White","2106-3",191,529166,36.1
,"65-69 years","65-69","2018","2018","Female","F","White","2106-3",42,515570,8.1
,"65-69 years","65-69","2018","2018","Male","M","White","2106-3",183,479815,38.1
,"65-69 years","65-69","2019","2019","Female","F","White","2106-3",42,518445,8.1
,"65-69 years","65-69","2019","2019","Male","M","White","2106-3",155,482862,32.1
,"65-69 years","65-69","2020","2020","Female","F","White","2106-3",45,517057,8.7
,"65-69 years","65-69","2020","2020","Male","M","White","2106-3",157,481509,32.6
,"65-69 years","65-69","2021","2021","Female","F","White","2106-3",42,510795,8.2
,"65-69 years","65-69","2021","2021","Male","M","White","2106-3",147,488635,30.1
,"65-69 years","65-69","2022","2022","Female","F","White","2106-3",52,502753,10.3
,"65-69 years","65-69","2022","2022","Male","M","White","2106-3",172,484121,35.5
,"65-69 years","65-69","2023 ","2023","Female","F","White","2106-3",41,506150,8.1
,"65-69 years","65-69","2023 ","2023","Male","M","White","2106-3",162,490213,33.0
