"Notes","Year","Year Code","Race","Race Code","Sex","Sex Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"1999","1999","Black or African American","2054-5","Female","F","< 1 year","1",210,16716,1256.3
,"1999","1999","Black or African American","2054-5","Female","F","1-4 years","1-4",35,73978,47.3
,"1999","1999","Black or African American","2054-5","Female","F","5-9 years","5-9",25,110911,22.5
,"1999","1999","Black or African American","2054-5","Female","F","10-14 years","10-14",27,101939,26.5
,"1999","1999","Black or African American","2054-5","Female","F","15-19 years","15-19",37,87305,42.4
,"1999","1999","Black or African American","2054-5","Female","F","20-24 years","20-24",50,76684,65.2
,"1999","1999","Black or African American","2054-5","Female","F","25-29 years","25-29",65,83107,78.2
,"1999","1999","Black or African American","2054-5","Female","F","30-34 years","30-34",102,94493,107.9
,"1999","1999","Black or African American","2054-5","Female","F","35-39 years","35-39",213,103185,206.4
,"1999","1999","Black or African American","2054-5","Female","F","40-44 years","40-44",305,93972,324.6
,"1999","1999","Black or African American","2054-5","Female","F","45-49 years","45-49",398,77458,513.8
,"1999","1999","Black or African American","2054-5","Female","F","50-54 years","50-54",420,62450,672.5
,"1999","1999","Black or African American","2054-5","Female","F","55-59 years","55-59",506,47680,1061.2
,"1999","1999","Black or African American","2054-5","Female","F","60-64 years ","60-64",599,39392,1520.6
,"1999","1999","Black or African American","2054-5","Female","F","65-69 years","65-69",764,32276,2367.1
,"1999","1999","Black or African American","2054-5","Female","F","70-74 years","70-74",928,26328,3524.8
,"1999","1999","Black or African American","2054-5","Female","F","75-79 years","75-79",1110,21769,5099.0
,"1999","1999","Black or African American","2054-5","Female","F","80-84 years","80-84",1056,14374,7346.6
,"1999","1999","Black or African American","2054-5","Female","F","85-89 years","85-89",931,Not Applicable,Not Applicable
,"1999","1999","Black or African American","2054-5","Female","F","90-94 years","90-94",589,Not Applicable,Not Applicable
,"1999","1999","Black or African American","2054-5","Female","F","95-99 years","95-99",288,Not Applicable,Not Applicable
,"1999","1999","Black or African American","2054-5","Female","F","100+ years","100+",79,Not Applicable,Not Applicable
,"1999","1999","Black or African American","2054-5","Female","F","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"1999","1999","Black or African American","2054-5","Male","M","< 1 year","1",226,17295,1306.7
,"1999","1999","Black or African American","2054-5","Male","M","1-4 years","1-4",40,76505,52.3
,"1999","1999","Black or African American","2054-5","Male","M","5-9 years","5-9",26,114807,22.6
,"1999","1999","Black or African American","2054-5","Male","M","10-14 years","10-14",31,105081,29.5
,"1999","1999","Black or African American","2054-5","Male","M","15-19 years","15-19",121,93402,129.5
,"1999","1999","Black or African American","2054-5","Male","M","20-24 years","20-24",191,79726,239.6
,"1999","1999","Black or African American","2054-5","Male","M","25-29 years","25-29",180,81895,219.8
,"1999","1999","Black or African American","2054-5","Male","M","30-34 years","30-34",202,94080,214.7
,"1999","1999","Black or African American","2054-5","Male","M","35-39 years","35-39",305,101878,299.4
,"1999","1999","Black or African American","2054-5","Male","M","40-44 years","40-44",467,91743,509.0
,"1999","1999","Black or African American","2054-5","Male","M","45-49 years","45-49",596,72334,824.0
,"1999","1999","Black or African American","2054-5","Male","M","50-54 years","50-54",657,55605,1181.5
,"1999","1999","Black or African American","2054-5","Male","M","55-59 years","55-59",677,41642,1625.8
,"1999","1999","Black or African American","2054-5","Male","M","60-64 years ","60-64",850,34821,2441.1
